Name,FTName,Soil,DescGrowSeason,CultivationGroup_RotationInfo,SunReq,TempClass,NutrientReq,PreferrPH,GenDesc,Sensitivities,WaterReq,PlantReq,OptGermTemp,DaysToGerm,PlantIdealTemp,LengthGorwingToHarvest,DiseaseMang,EnergyValue100gKcal,NutritInfo,PestsPathogens
Potatoes,Solanum tuberosum,"Well-drained, fertile and high in organic matter. Loamy and clay",Currently no data available.,Solanaceae,Full sun,Tender,Low,4.5-6.0,"A versatile tuber which is high in starch and a staple ingredient in many meals.  Comes in many different varieties,  with different cooking properties.  Some suited to frying, others to boiling.",Currently no data available.,Medium,Plant once soil temperatures are above 7°C.  Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.,Currently no data available.,Currently no data available.,7-26,90-115,Currently no data available.,0,Currently no data available.,Currently no data available.
Potatoes,Solanum tuberosum,"Well-drained, fertile and high in organic matter.  Loamy and clay",Currently no data available.,Solanaceae,Full sun,Tender,Low,4.5-6.0,"A versatile tuber which is high in starch and a staple ingredient in many meals.  Comes in many different varieties,  with different cooking properties.  Some suited to frying, others to boiling.",Currently no data available.,Medium,Plant once soil temperatures are above 7°C.  Potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.,Currently no data available.,Currently no data available.,7-26,100-115,Currently no data available.,0,Currently no data available.,Currently no data available.
Purslane,Portulaca oleracea,"Loamy, sandy and silty",Currently no data available.,Miscellaneous,Full sun/partial shade,Hardy,Low,5.5-7.0,"Purslane is an annual succulent that is eaten either fresh as a salad, or cooked similar to spinach.  Its flavour is slightly sour and salty.",Currently no data available.,Low,"Purslane is a fast-growing annual with succulent leaves and stems, often considered a weed. Will grow in any soil, and does best in warm weather with regular water.",32,Currently no data available.,Currently no data available.,40-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Quinoa,Chenopodium quinoa,"Well-drained, fertile and loamy",Currently no data available.,Miscellaneous,Full sun,Tender,Low,6.0-7.0,"Mainly grown for it's seeds which are cooked like rice.  The outer coating of the seed is bitter in taste and requires removing.  Quinoa is also gluten free, and high in protein.",Currently no data available.,Low,"Quinoa is a cool season crop that requires full sun.  Described as disease-free and drought-tolerant, they thrive in rich and well drained soil. Once established, they produce abundant harvests under dry conditions.",18-24,4,15-20,90-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Radish,Raphanus raphanistrum (subsp. sativus),"Loamy, clay and sandy",Currently no data available.,Brassica,Full sun/partial shade,Half hardy,Low,6.0-7.0,This swollen root is a crunchy salad vegetable with a sharp sweet flavour.,Currently no data available.,Medium,"A cool season crop which is fast to mature and easy to grow.  Requires full sun and moisture.  Can be grown as a 'catch crop' between rows of slower maturing vegetables, or as a row marker in slow to germinate crops.",30,4,Currently no data available.,25-50,Currently no data available.,0,Currently no data available.,Currently no data available.
Rhubarb,Rheum rhabarbarum,Currently no data available.,perennial,Miscellaneous,Full sun/partial shade,Hardy,Low,5.5-7.0,"The crisp sharp flavoured stalks of this perennial can be eaten raw, but normally cooked with sugar and prepared similar to fruit.  The large leaves are not eaten as they contain oxalic acid that can cause poisoning.",Currently no data available.,Medium,Rhubarb prefers an open sunny site with well drained soil.  Do not allow the crowns to be covered as they are prone to rotting.,21,7,24,x,Currently no data available.,0,Currently no data available.,Currently no data available.
Rocket,Brassicaceae eruca sativa,Currently no data available.,Currently no data available.,Brassica,Full sun/partial shade,Half hardy,Low,6.0-7.0,An edible herb which is used as a leafy salad vegetable.  Also used in cooking due to it's strong peppery flavour.,Currently no data available.,Medium,"Plants prefer some shade to keep the leaves tender, and keeping the soil moist and the plants growing will prevent them going to seed.  Can be sown throughout the spring and summer for continual cropping.",18-22,6,Currently no data available.,40-90,Currently no data available.,0,Currently no data available.,Currently no data available.
Salsify,Tragopogon porrifolius,Loamy and sandy,Currently no data available.,Miscellaneous,Full sun,Half hardy,Low,6.0-7.5,"Used in a similar way to other root vegetables (mashed, boiled or roasted).  This creamy fleshed taproot with its oyster like taste makes a welcome change.",Currently no data available.,Medium,An easy slow growing cool weather plant that likes loose rich soil.  The edible roots will become fibrous if watering is not even and adequate.,21,6,Currently no data available.,120-,Currently no data available.,0,Currently no data available.,Currently no data available.
Scorzonera,Scorzonera hispanica,Loamy and sandy,Currently no data available.,Miscellaneous,Full sun,Hardy,Low,6.0-7.0,"Used in a similar way to other root vegetables (mashed, boiled or roasted).  This creamy fleshed taproot with its oyster like taste makes a welcome change.",Currently no data available.,Medium,An easy slow growing cool weather plant that likes loose rich soil.  The edible roots will become fibrous if watering is not even and adequate.,21,6,Currently no data available.,120-,Currently no data available.,0,Currently no data available.,Currently no data available.
Shallots,Allium cepa (var. aggregatum),Loamy,Currently no data available.,Allium,Full sun,Very hardy,Low,6.0-7.0,"Similar to onions, but are smaller and grow in clumps.",Currently no data available.,Medium,"Easy to grow and will do well in any well-drained fertile soil.  They do not require much attention, but will need a long growing period and a sunny position.  Water when weather is dry, and remove flowers as soon as possible.",24,21,Currently no data available.,90-,Currently no data available.,0,Currently no data available.,Currently no data available.
Sorrel,Rumex acetosa,Well drained,Currently no data available.,Miscellaneous,Full sun/partial shade,Very hardy,Medium,5.5-7.0,"Sorrel is a sour tasting leafy herb used raw in salads, or used as a herb in cooking.",Currently no data available.,Medium,"This perennial plant grows well in a lightly shaded spot, do not allow to dry out.  Established plants can be divided.",20,7,Currently no data available.,60-,Currently no data available.,0,Currently no data available.,Currently no data available.
Soybean,Glycine max,Currently no data available.,Currently no data available.,Legume,Full sun,Half hardy,Medium,6.0-7.0,"When to harvest soybean will depend on how you want use the crop.  When green they can be cooked and used as vegetables, when the mature and turn brown they can be harvested and stored dry.",Currently no data available.,Medium,Soya is a warm climate plant requiring temperatures of 20-30°C over the growing season.  They will also require space as they can grow up to 1.2m high.,24,Currently no data available.,Currently no data available.,90-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Spinach,Spinacia oleracea,Loamy,Currently no data available.,Chenopodiaceae,Full sun/partial shade,Half hardy,Medium,6.0-7.5,The green leafs of the spinach plant can be eater raw in salads or cooked as a side dish or as an ingredient for cooking.,Currently no data available.,Medium,Prefers a sunny or slightly shaded plot with moisture retentive soil.  Plants will need 30cm spacing and feeding with high nitrogen fertiliser ever 2 weeks.,21,5,Currently no data available.,50-65,Currently no data available.,0,Currently no data available.,Currently no data available.
Spinach,Tetragonia tetragonioides,Currently no data available.,Currently no data available.,Miscellaneous,Full sun/partial shade,Tender,Low,6.5-7.0,"Used in the same way as spinach, but the leaves are smaller.",Currently no data available.,Medium,Prefers warmer weather than regular spinach. Although drought resistant retaining soil moisture maintains full growth potential.,Currently no data available.,10-20,15-24,55-65,Currently no data available.,0,Currently no data available.,Currently no data available.
Spinach,Beta vulgaris (subsp.cicla),Currently no data available.,Currently no data available.,Chenopodiaceae,Full sun/partial shade,Very hardy,Low,6.0-7.0,"Used in the same way as spinach, but will tolerate dryer conditions and not run to seed.",Currently no data available.,Medium,"Easier to grow and more vigorous than true spinach.  It likes well worked well drained soil with a high organic content, but will still do well in shadier areas with poor soil.",30,4,Currently no data available.,30-45,Currently no data available.,0,Currently no data available.,Currently no data available.
Spring Onion / Scallions,Allium cepa (var. aggregatum),Currently no data available.,Currently no data available.,Allium,Full sun/partial shade,Very hardy,Low,6.0-7.0,Spring onion have a mild flavour ideal for using in salads or in dishes where onion would be overpowering.,Currently no data available.,Medium,"Can be sown directly where they are to be grown, but ensure the plot has not been freshly manured.  Keep well watered.",24,6,Currently no data available.,60-,Currently no data available.,0,Currently no data available.,Currently no data available.
Squash,Cucurbita pepo,Loamy,Currently no data available.,Cucurbit,Full sun,Tender,High,6.0-7.0,"Summer squashes are harvested when immature and the outer skin is still soft and edible. Unlike winter squash, these do not store well.",Currently no data available.,Medium,"Summer squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive.  They will require a large area to spread (120cm) and not compete with other plants.",35,4,10-32,45-75,Currently no data available.,0,Currently no data available.,Currently no data available.
Squash,Cucurbita maxima,Currently no data available.,Currently no data available.,Cucurbit,Full sun,Tender,High,5.5-7.0,These vegetables have solid orange flesh that is ideal for many methods of cooking.  They also store well.,Currently no data available.,Medium,"Winter squash likes a sunny, sheltered position in a soil that is humus rich and moisture retentive.  They will require a large area to spread (120cm) and not compete with other plants.",35,5,10-32,85-120,Currently no data available.,0,Currently no data available.,Currently no data available.
Swede / Rutabaga," 	Brassica napus",Currently no data available.,Currently no data available.,Brassica,Full sun/partial shade,Hardy,Low,5.5-7.0,The yellow flesh of the swede is sweeter and milder than the turnip and is traditionally served mashed with potato and haggis in Scotland.,Currently no data available.,Medium,This frost tolerant hardy plant is easy to grow and thrives in most soil types.  It can be left in the ground over winter and harvested as required.,26,4,Currently no data available.,80-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Sweet Potato,Ipomoea batatas,"Loamy, sandy and silty",Currently no data available.,Miscellaneous,Full sun,Half hardy,Medium,5.5-6.0,"A starchy sweet tasting root vegetable that is best backed, roasted or mashed.",Currently no data available.,Medium,Sweet potatoes are grown from 'slips' which must be hydrated in water before planting.  They need full sun and high temperatures to provide good yields.,Currently no data available.,Currently no data available.,21-26,100-125,Currently no data available.,0,Currently no data available.,Currently no data available.
Sweetcorn," 	Zea mayvar. Saccharata",Loamy and clay,Currently no data available.,Miscellaneous,Full sun,Tender,Low,6.0-7.0,"Sweet corn is a variety of maize which is high in sugar and harvested while immature, at this stage it is considered a vegetable and used cooked.  At this stage of maturity it does not store well so should be eaten fresh.",Currently no data available.,High,"Sweet corn is most successful in long hot summers.  As they are wind pollinated they should be grown in blocks not rows.  Prefers moist well fertilised soil .  Corn is ready when the tassels turn brown, and the juice from the kernels is milky.",30,3,16-35,70-100,Currently no data available.,0,Currently no data available.,Currently no data available.
Swiss Chard," 	Beta vulgari (subsp. vulgaris)",Loamy and clay,Currently no data available.,Chenopodiaceae,Full sun/partial shade,Very hardy,Low,6.0-7.5,Swiss chard is leafy green vegetable.  Often the stalk is separated from the leaf and prepared separately.,Currently no data available.,Medium,Grows best in a sunny position in rich soil that is free draining and moisture retentive.  One sowing will provide a crop that will last many months.,30,4,Currently no data available.,50-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Tatsoi,Brassica rapa (subsp. narinosa),Loamy soil,Currently no data available.,Brassica,Full sun,Very hardy,Medium,6.0-7.5,"These small, spoon-shaped leaves look similar to spinach only grow to a few cms high.   They have a mild mustard-like flavour and are used raw in salads or cooked.",Currently no data available.,Medium,"A low growing annual, Tatsoi plants thrive in cool weather, and tolerates light frost which can trigger bolting if exposed in spring, but later can  improve tatsoi's flavour, and can be harvested out from under a snowfall.",,4,Currently no data available.,45-60,Currently no data available.,0,Currently no data available.,Currently no data available.
Tomato (Regular),Solanum lycopersicum (var. cerasiforme),Loamy soil,Currently no data available.,Solanum,Full sun,Tender,high,5.5-7.5,"The tomato is one of the most versatile fruit.  Eaten raw in salads, the base of many sauces.  It comes in many sizes from small cherry, to large frit that fill your hand.",Currently no data available.,Medium,"Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts.  Seedlings are best kept at 18°C.  They require a lot of watering and are hungry plant.",26,6,16-30,65-85,Currently no data available.,0,Currently no data available.,Currently no data available.
Tomato,Solanum lycopersicum,Loamy,Currently no data available.,Solanum,Full sun,Tender,High,5.5-7.5,"The tomato is one of the most versatile fruit.  Eaten raw in salads, the base of many sauces.  It comes in many sizes from small cherry, to large frit that fill your hand.",Currently no data available.,Medium,"Tomatoes are not hardy, so don’t expose the plants to frost, cold winds and draughts.  Seedlings are best kept at 18°C.  They require a lot of watering and are hungry plant.",26,6,16-30,65-85,Currently no data available.,0,Currently no data available.,Currently no data available.
Winter Field Beans,Vicia faba,Currently no data available.,Currently no data available.,Legume,Full sun,Hardy,Medium,6.0-7.0,"Winter Beans are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.",Currently no data available.,Very low,Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual that can tolerate heavy frost.,10,Currently no data available.,Currently no data available.,90-180,Currently no data available.,0,Currently no data available.,Currently no data available.
Winter Peas,Pisum sativum (subsp. arvense (L.) Asch),Currently no data available.,Currently no data available.,Legume,Full sun,Very hardy,Medium,6.0-7.0,"Field peas are an incredibly generous green manure, providing a very cost-effective means of giving your soil a boost.",Currently no data available.,Low," Sown in autumn they can also limit the effect of rain on otherwise bare soil. A cool-season annual, that can tolerate heavy frost.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Basil,Ocimum basilicum,"Loam, Sand",Currently no data available.,Lamiaceae,Full sun,Very tender,Low,5.5-6.5,"A fragrant, easy to grow warm weather leafy herb, that used extensively in Italian dishes.",Currently no data available.,high,"For best results plant outside once soil is over 20oC.  Basil likes moisture, so mulching in hot weather will help retain moisture.  Remove flowers as they appear to keep plants productive.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Bay,Laurus nobilis,"Chalk, Clay, Sand, Loam",Currently no data available.,Miscellaneous,Full sun,Hardy,Low,5.5–6.5,The fragrant leaves of this evergreen tree or shrub are used as a seasoning.,Currently no data available.,Low,"An attractive and ornamental plant with fragrant leaves, best planted once all danger of frost has passed.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Borage,Borago officinalis,"Chalk, Clay, Sand, Loam",Currently no data available.,Miscellaneous,Full sun,Hardy,Low,5.5–6.5,A fast growing annual that produces star shaped blue flowers.  The leaves are used to made a hot water infusion.,Currently no data available.,Medium,An easy to grow annual that will thrive in poor soil.  It requires a sunny spot and regular watering.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Bonnet Pepper,Capsicum chinense,Rich Moist soil,Currently no data available.,Solanaceae,Full sun,Tender,Medium,7.0-8.5,A chili pepper with a very high Scoville heat unit score.,Currently no data available.,Medium,"Resistant to high temperatures. They like high temperatures with lots of light, and are easily damaged by cold spells of weather.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Calendula,Calendula officinalis,"Chalk, Loam, Sand",Currently no data available.,Miscellaneous,Full sun/partial shade,Hardy,Low,5.5-7.0,"Commonly known as a marigold, the bright yellow or orange flowers of this plant have historically been used  for medical and culinary purposes in salads, teas, or oil infusions.",Currently no data available.,Medium,"Easy to grow and will reseed themselves.  They do well in poor, well drained soil and require minimal care once established.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Catnip,Nepeta cataria,Well drained soil,Currently no data available.,Miscellaneous,Full sun,Hardy,Low,6.0-7.5,A member of the mint family. Catnip has antibacterial properties and is used to make teas.,Currently no data available.,Low,"These seeds are tough, and will need slight damage before they will germinate.  They will grow in partial shade, but grow much better in full sun.  Over fertilising can reduce the potency of their scent and flavour.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Chamomile,Chamaemelum nobile,"Loam, Chalk, Sand",Currently no data available.,Miscellaneous,Full sun/partial shade,Hardy,Low,5.5-7.5,The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,Currently no data available.,Low,"A creeping, ground covering perennial. It grows best in partial shade, and like most herbs, does best when not fertilised or watered too often.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Valerian,Valeriana officinalis,"Sand, Clay, Chalk, Loam",Perennial,Miscellaneous,Full sun,Hardy,Low,5.5-7.0,The root of this plant is used after drying and making into powder.  It is claimed that it helps with sleep disorders and depression.  The leaves can be used to make tea.,Currently no data available.,Medium,"Will grow in a wide variety of conditions, but prefers to be kept moist in well drained soil.  It grows to about 1m-1.5m high, and 0.5m wide.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Comfrey,Symphytum officinale,"Chalk, Clay, Sand, Loam",Perrenial,Miscellaneous,Partial shade,Hardy,Low,6.0-7.0,"There are many uses of comfrey. It has reported healing properties when used as an external dressing, or consumed as a tea. The nutrient rich leaves can be used as a fertiliser.",Currently no data available.,Medium,"Comfrey can live for over 20 years, and will thrive in good soil and full sun.  Once established, it requires little maintenance, however, mulching with grass cuttings will help to produce more leaves.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Coriander,Coriandrum sativum,"Loam, Chalk, Sand",Annual,Umbelliferae,Full sun,Hardy,Low,6.0-7.0,"This aromatic herb is used in cooking.  The whole plant can be eaten, although the leaves and seeds are most often used; the leaves as a herb, and the seeds as a spice.",Currently no data available.,Medium,"Keep the soil damp, but not over watered. Dry soil will cause the plants to flower prematurely, or bolt.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Dill,Anethum graveolens,"Loam, Chalk, Sand",Annual,Umbelliferae,Full sun,Hardy,Medium,5.5-7.0,A member of the parsley family.  This aromatic herb has feathery green leaves which are best used fresh. The seeds are also used as a spice.,Currently no data available.,Medium,Dill does not like to be transplanted. It may require staking to prevent it falling over.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Thyme,Thymus vulgaris,"Loam, Chalk, Sand",Perennial,Miscellaneous,Full sun,Hardy,Low,5.5-7.0,This is a woody stemmed plant with an abundance of small leaves which are used to flavour dishes.,Currently no data available.,Low,"Easy to grow, and suitable for rock gardens.  After flowering cut back to retain compactness.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Feverfew,Tanacetum parthenium,Most soils,Annual/perannial,Miscellaneous,Full sun,Hardy,Low,6.0-8.0,A flowering plant in the daisy family. It is used for its reported medicinal properties - for the treatment of migraines and other ailments.,Currently no data available.,Low,"Will grow well in most soils, but not in heavy wet soils.  Self seeds, remove dead flowers to prevent this.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Horseradish,Armoracia rusticana,"Loam, Chalk, Sand, Clay",Perennial,Brassicas,Full sun,Very hardy,Medium,5.0-7.5,"A root vegetable and a member of the mustard family.  The green leaves can be eaten, but it is mainly grown for its root, which is used for is pungent flavour, especially in stews.",Currently no data available.,Medium,"An easy to look after herb that prefers light, fertile and deep soil.  Can be invasive, so is regularly grown in raised beds.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Lemon Grass,Cymbopogon citratus,Loam,Currently no data available.,Miscellaneous,Full sun,Very tender,Low,5.0-8.0,"A tall perennial grass used in cooking or infusion. The inner soft parts of the stalks can be used either fresh, or dried.",Currently no data available.,High,Can be grown from stalk bought for cooking by placing in water.  It likes a warm sunny spot.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Marjoram,Origanum majorana,"Loam, Chalk, Sand",Perennial,Lamiaceae,Full sun,Hardy,Low,6.0-8.0,A perennial herb grown for it's aromatic flavours of sweet pine and citrus.,Currently no data available.,Low,"Requires regular watering, however, be careful of overwatering as the roots can easily rot.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Mint,Mentha spicata,"Chalk, Clay, Sand, Loam",Perennial,Lamiaceae,Full sun,Very hardy,Low,7.0-8.0,"A versatile herb which can be used in hot drinks, in salads, and as a mint sauce (traditionally served with roast lamb).  Is also an essential ingredient in the mojito cocktail.",Currently no data available.,Low,"An easy to grow herb that will thrive in rich, moisture retentive, deep soil.  Mint will spread if not kept in check.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Oregano,Origanum vulgare,"Loam, Chalk, Sand",Currently no data available.,Lamiaceae,Full sun,Hardy,Low,6.0-7.0,A perennial herb grown for it's aromatic flavours of sweet pine and citrus.,Currently no data available.,Low,"Requires regular watering, however, be careful of overwatering as the roots can easily rot.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Parsley,Petroselinum crispum,Loam,"Biennial, grown as an annual",Umbelliferae,Full sun/partial shade,Hardy,Medium,5.0-7.0,"Extensivly used in cooking, from a garnish to an essential ingredient in some dishes, such as salsa verde.",Currently no data available.,Medium,"The seed needs to be soaked in warm water overnight before planting, and can take several weeks to germinate.  It can survive cold winters if mulched.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Rosemary,Rosmarinus officinalis,"Sand, Clay, Chalk, Loam",Shrub,Miscellaneous,Full sun,Hardy,Low,5.0-6.0,"An evergreen shrub, with fragrant needle shaped leaves used to flavour dishes.",Currently no data available.,Low,"An easy to grow shrub that prefers poor, well drained soil.  Is best cultivated from semi-hard wood cuttings.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Sage,Salvia officinalis,"Sand, Chalk, Loam",Perrenial evergreen,Miscellaneous,Full sun,Hardy,Low,5.5-6.5,The soft greyish green leaves are traditionally used in stuffing. They also have reported medicinal properties to help with digestive problems.,Currently no data available.,Low,"An easy herb to grow that does well in most well drained soils. Trim back in the autumn to encourage new growth, and stop the stems becoming leggy.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Tarragon,Artemisia dracunculus,"Loam, Sand",Perennial,Miscellaneous,Full sun,Hardy,Low,6.5-7.5,Tarragon is reported to be one of the top 4 herbs used in French cooking. It has an intense flavour that is a unique blend of sweet aniseed and mild vanilla. It is essential ingredient in Béarnaise sauce.,Currently no data available.,Low,"Does not set viable seed, so buying young plants, or taking cuttings is required. Trim back in autumn to encourage new growth and stop the stems becoming leggy.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Strawberry,Fragaria ananassa,Loam,Semi-evergreen perrenial,Miscellaneous,Full sun,Hardy,Medium,5.5-6.5,"A soft fruit that is cultivated world wide, and appreciated for its characteristic aroma and sweetness.  It is eaten fresh, used for making preserves, juices, and many other dishes.",Currently no data available.,Medium,"Requires fertile, moist but well drained soil.  Planting through polythene, or applying straw keeps the berries clean.  This is an ideal plant to grow in containers as this will allow the berries to mature away from moist soil.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Lemon balm,Melissa officinalis,"Chalk, Clay, Sand, Loam",Perennial,Miscellaneous,Full sun,Very hardy,low,6.0-7.5,"A member of the mint family, the leaves have a mild lemon sent.  It is used to add flavour, or as an infusion in a hot drink.",Currently no data available.,Medium,"Will grow in any moisture retentive soil, but will need protected from excessive moisture over the winter.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Chamomile,Matricaria recutita,"Loam, Chalk, Sand",Currently no data available.,Miscellaneous,Full sun/partial shade,Hardy,low,5.5-7.5,The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.,Currently no data available.,Low,"This upright annual grows best in partial shade, and like most herbs, does best when it is not fertilised or watered too often.",Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,Currently no data available.,0,Currently no data available.,Currently no data available.
Almond,Prunus dulcis,Sandy Loam,Perennial,Miscellaneous,Full sun,Tender,Medium,6.0-7.0,"Almond trees have been cultivated for 1000's of years, their fruits are used for making baked goods, confectionary and oil.",Suseptable to spring frosts.,Medium,"Few varieties are self fertile, so require two or more trees for cross pollination and fruit production.  They prefer dry hot summers and mild wet winters. Can take up to 8 years to fruit, and will live over 50 years.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Apple,Malus,Loamy,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.5,"A sweet edible fruit which is eaten raw, cooked or juiced.  The most widely cultivated fruit tree world wide, with a vast range of tree sizes.",Currently no data available.,Medium,"There are thousands of difference varieties that generally fall in to either cooking apples, or dessert apples (for eating).  Require little care, but ""chill hours"" are required to set fruit. More than one tree is needed to allow cross pollination.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Apricot,Prunus armeniaca,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.5-8.0,"A relative of the plum, nectarine and peach. The fruit from these trees range in colour from pale yellow to dark orange.  They have a soft velvety skin, and soft flesh covering a large kernel.","New varieties can be grown in cooler climates, but the blossem must be protected from frost over night.",Medium,"In warmer climates trees can be freestanding. In cooler climates they are best grown on a warm, sheltered, south facing wall.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Blackberry,Rubus fruticosus agg.,Sandy,Perennial,Miscellaneous,Full sun,Very hardy,Low,6.0-7.0,"Also known as a bramble, the dark almost black fruits comprise of juice filled sweet drouplets.  They are traditionally grown along wires, but can also be trained to cover arches and trellis.",Currently no data available.,Medium,"Blackberries are vigorous growers and require regular pruning.  However as the fruit is produced on last years growth, only prune back the canes once fruiting is finished, then tie back the new canes for next year.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Blackcurrant,Ribes nigrum,Currently no data available.,Perennial,Miscellaneous,Full sun,Very hardy,Medium,6.0-7.0,"Blackcurrants are woody shrubs that produce fruits high in vitamin C.  They can  be eaten raw, but are normally used for jams, or as an ingredient in both sweet and savoury dishes.  Most blackcurrsts grown commetially are used for making juice.",Currently no data available.,Medium,"Fruit is produced on new growth, so old wood or weak shoots should be removed during dormancy.  They are easy to grow, but prefer well drained soil in full sun.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Blueberry,Vaccinium corymbosum,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,5.0-6.0,"Regarded as a super fruit, these ornamental shrubs produce large quantities of fruit once established.  The fruit is sweet and varies in size from 5mm to 16mm.",Currently no data available.,Medium,"Requires a soil pH of 5.5 or lower.  These shrubs require an acidic soil, and will not grow well in the wrong type of soil.  They also crop better when planted with another variety.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Cherry,Prunus avium,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"As a member of the genus Prunus, it is a fleshy stoned fruit. Cherries range in colour from a light red to deep purple. The sweet varieties are used fresh, cooked, and for juice, while the smaller sour varieties tend to be used for preserves.",Currently no data available.,Medium,"Most varieties are not self fertilising, so you will require 2 or 3 trees.  They will take about 4 years to bear fruit and require deep, well drained soil.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
