Name5,FoodStoreCat5,LatinName5,HardinessUSDA,EdibilityRating5,MedicinalRating5,OtherUsesRating5
Stone Root - Horse Balm. Richweed,Other,Collinsonia canadensis,6-9,0,3,
Bladder Senna,Other,Colutea arborescens,4-8,0,2,4
Bladder-senna,Other,Colutea istria,6-9,0,0,
Day Flower. Asiatic dayflower,Other,Commelina communis,4-8,3,2,1
Birdbill Dayflower,Other,Commelina dianthifolia,6-9,2,1,
Sweet Fern,Other,Comptonia peregrina,4-8,3,3,3
Sweet Fern,Other,Comptonia peregrina asplenifolia,5-9,3,3,3
Hemlock. Poison hemlock,Other,Conium maculatum,4-8,1,2,0
Blue mistflower,Other,Conoclinium coelestinum,5-9,0,0,3
Pignut,Nuts,Conopodium majus,5-8,3,0,0
Cumberland Rosemary,Other,Conradina verticillata,4-8,1,0,
Lily Of The Valley,Other,Convallaria keiskei,4-8,1,0,
Lily Of The Valley. European lily of the valley,Other,Convallaria majalis,4-8,1,3,3
Field Bindweed,Other,Convolvulus arvensis,3-8,1,2,1
Scammony,Other,Convolvulus scammonia,5-9,0,2,
Canada Fleabane. Canadian horseweed,Other,Conyza canadensis,4-8,1,3,1
Huang Lian,Other,Coptis chinensis,5-9,0,3,
Idaho goldthread,Other,Coptis occidentalis,5-9,0,0,
Goldthread. Threeleaf goldthread,Other,Coptis trifolia,4-8,2,2,2
Poverty Grass. Broom crowberry,Fruit,Corema conradii,5-10,1,0,
Tickseed. Lobed tickseed.Mouse-eared Coreopsis. Eared Coreopsis,Other,Coreopsis auriculata,3-9,0,0,3
Pink tickseed,Other,Coreopsis rosea,5-9,0,0,3
Coreopsis. Golden tickseed. Atkinson's tickseed. Dyer's Coreopsis. Plains Coreopsis. Annual Coreops,Other,Coreopsis tinctoria,5-9,1,1,1
Whorled tickseed,Other,Coreopsis verticillata,6-9,1,1,3
Coriander - Dhania - Cilantro. Coriander,Other,Coriandrum sativum,6-9,4,4,4
Tartarian Dogwood,Other,Cornus alba,5-9,0,0,
Green Osier. Alternateleaf dogwood. Alternate Leaf Dogwood. Golden Shadows Pagoda Dogwood. Green Osi,Other,Cornus alternifolia,5-9,0,2,
Silky Dogwood,Other,Cornus amomum,6-9,1,2,
Roughleaf Dogwood,Other,Cornus asperifolia drummondii,3-9,0,0,
Creeping Dogwood. Bunchberry dogwood. Bunchberry,Fruit,Cornus canadensis,4-8,4,2,2
Giant Dogwood. Wedding Cake Tree.,Other,Cornus controversa,4-8,2,1,
Flowering Dogwood,Other,Cornus florida,5-9,2,2,3
Japanese Dogwood. Kousa dogwood. Chinese Dogwood.,Other,Cornus kousa,5-8,5,0,2
Japanese Dogwood,Other,Cornus kousa chinensis,5-9,5,0,2
Large-Leaf Dogwood,Other,Cornus macrophylla,4-10,2,2,
Cornelian Cherry. Cornelian Cherry Dogwood,Other,Cornus mas,6-9,4,2,3
Mountain Dogwood. Pacific dogwood. Western Dogwood,Other,Cornus nuttallii,6-9,1,2,
Western Dogwood,Other,Cornus occidentalis,6-9,1,1,
Shan Zhu Yu. Asiatic dogwood. Japanese Cornel Dogwood,Other,Cornus officinalis,6-9,4,3,0
Round-Leaved Dogwood,Other,Cornus rugosa,6-9,0,1,
Dogwood. Bloodtwig dogwood,Other,Cornus sanguinea,6-9,2,1,
Red Osier Dogwood. Western dogwood,Other,Cornus sericea,5-10,2,2,4
Blackfruit dogwood,Fruit,Cornus sessilis,6-9,2,0,
Scorpion Senna,Other,Coronilla emerus,6-9,0,1,
Annual Scorpion Vetch. Yellow crownvetch,Other,Coronilla scorpioides,4-8,0,1,
Crown Vetch,Other,Coronilla varia,4-9,0,1,
Scrambled Eggs,Other,Corydalis aurea,6-8,0,2,
Fumewort. Spring fumewort,Other,Corydalis solida,5-9,1,3,
American Hazel,Other,Corylus americana,6-9,3,1,2
Common Hazel. Common filbert. European Filbert. Harry Lauder's Walking Stick. Corkscrew Hazel. Hazel,Other,Corylus avellana,6-7,5,2,5
Chinese Hazel,Other,Corylus chinensis,6-9,2,0,
Turkish Hazel. Chinese hazelnut. Turkish Filbert. Turkish Hazel,Nuts,Corylus colurna,4-8,3,1,3
Beaked Hazel. California hazelnut. Turkish Filbert. Turkish Hazel,Nuts,Corylus cornuta,5-8,3,1,3
California Hazel,Other,Corylus cornuta californica,4-8,3,0,4
Siberian Filbert,Other,Corylus heterophylla,4-8,3,1,4
Hybrid & Neohybrids. Hazel. Filbert,Other,Corylus hybrids & neohybrids,5-8,5,2,5
Indian Tree Hazel,Other,Corylus jacquemontii,5-9,3,0,
Filbert. Giant filbert,Other,Corylus maxima,4-8,5,0,5
Japanese Hazel. Manchurian hazel,Other,Corylus sieboldiana,5-7,3,0,1
Hairy hazel. Japanese hazelnut.,Nuts,Corylus sieboldiana mandschurica,4-8,3,0,1
Chinese Trazel,Other,Corylus x vilmorinii,4-8,2,0,
Smoke Tree. European smoketree. Venetian Sumac. Wig Tree. Smoke Tree,Other,Cotinus coggygria,4-8,1,1,
Chittamwood. American smoketree,Other,Cotinus obovatus,4-9,0,0,
Acuminate cotoneaster,Other,Cotoneaster acuminatus,6-9,0,0,
Tibetan Cotoneaster. Cotoneaster,Other,Cotoneaster conspicuus,4-8,0,0,
Spreading Cotoneaster,Other,Cotoneaster divaricatus,4-9,0,0,3
Orange cotoneaster,Other,Cotoneaster franchetii,4-10,1,0,
Black-Wood. Cotoneaster,Other,Cotoneaster racemiflorus,5-8,2,1,2
Simons' cotoneaster,Other,Cotoneaster simonsii,3-7,0,0,2
Brass Buttons. Common brassbuttons,Other,Cotula coronopifolia,4-8,0,0,
Flowering sea kale,Other,Crambe cordifolia,4-8,3,1,3
Sea Kale,Other,Crambe maritima,4-8,4,0,3
Tartar Bread Plant,Other,Crambe tatarica,4-8,3,0,2
Bronvaux Medlar,Other,Crataegomespilus dardarii,4-8,3,0,
Eastern Mayhaw. May hawthorn. Mayhaw. Apple Hawthorn,Other,Crataegus aestivalis,4-10,3,2,5
Altai Mountain Thorn,Other,Crataegus altaica,4-8,3,2,
Arnold hawthorn,Other,Crataegus anomala,6-7,3,2,3
Parsley-Leaved Hawthorn,Other,Crataegus apiifolia,4-8,2,2,
Arnold Hawthorn,Other,Crataegus arnoldiana,5-9,5,2,0
Azarole,Other,Crataegus azarolus,5-9,4,2,
Cockspur hawthorn. Dwarf Hawthorn. Cockspur Hawthorn,Other,Crataegus canbyi,4-9,2,2,
Quebec hawthorn,Other,Crataegus champlainensis,6-9,4,2,
Fireberry Hawthorn. Red haw. Piper's hawthorn.,Other,Crataegus chrysocarpa,6-9,3,2,
Kansas Hawthorn,Other,Crataegus coccinoides,4-9,3,2,
Columbian Hawthorn,Other,Crataegus columbiana,5-9,3,2,
Cockspur Thorn. Cockspur hawthorn. Dwarf Hawthorn,Other,Crataegus crus-galli,6-9,2,2,
Sanzashi. Chinese hawthorn,Other,Crataegus cuneata,5-9,3,3,3
Black Hawthorn,Other,Crataegus douglasii,4-8,4,2,
Caughuawaga Hawthorn,Other,Crataegus durobrivensis,3-7,4,2,2
Scarlet Hawthorn,Other,Crataegus ellwangeriana,4-8,5,2,2
Fanleaf hawthorn,Other,Crataegus flabellata,3-7,3,2,3
Summer Haw. Yellowleaf hawthorn,Other,Crataegus flava,6-9,3,2,3
Holmes' hawthorn,Other,Crataegus holmesiana,6-9,4,2,
Copenhagen hawthorn,Other,Crataegus intricata,4-8,3,2,3
Miss jones' hawthorn,Other,Crataegus jonesiae,3-7,2,2,
Midland Hawthorn. Smooth hawthorn. English Hawthorn,Other,Crataegus laevigata,6-9,3,5,5
Red Haw. Downy hawthorn,Other,Crataegus mollis,4-8,4,2,2
Hawthorn. Oneseed hawthorn,Other,Crataegus monogyna,3-7,3,5,3
Hungarian Hawthorn,Other,Crataegus nigra,3-7,2,2,
Western Mayhaw,Other,Crataegus opaca,4-10,3,2,3
Scarlet Haw. Scarlet hawthorn,Other,Crataegus pedicellata,4-8,5,2,2
Scarlet Haw,Other,Crataegus pedicellata gloriosa,4-8,3,2,3
Washington Thorn. Washington Hawthorn,Other,Crataegus phaenopyrum,4-7,2,2,
Chinese Haw,Other,Crataegus pinnatifida,6-9,3,3,2
Chinese Haw,Other,Crataegus pinnatifida major,5-9,4,3,2
Frosted Hawthorn. Waxyfruit hawthorn,Fruit,Crataegus pruinosa,5-9,3,2,
Manzanilla,Other,Crataegus pubescens,5-9,3,2,
Manzanilla,Other,Crataegus pubescens stipulacea,4-8,3,2,
Dotted Hawthorn.,Other,Crataegus punctata,4-8,3,2,2
River Hawthorn,Other,Crataegus rivularis,6-9,2,2,
Blue hawthorn,Other,Crataegus schraderana,6-9,5,2,
Quebec Hawthorn,Other,Crataegus submollis,6-9,4,2,
Fleshy hawthorn,Other,Crataegus succulenta,3-7,4,2,2
Tansy-Leaved Thorn,Other,Crataegus tanacetifolia,4-8,5,2,3
Dwarf hawthorn,Other,Crataegus uniflora,5-9,2,2,
Hardy swamplily,Other,Crinum bulbispermum,4-8,1,0,
Rock Samphire,Other,Crithmum maritimum,4-8,2,2,0
Montbretia,Other,Crocosmia aurea,6-10,1,0,
Saffron,Other,Crocus sativus,3-7,3,3,2
Japanese Cedar. Sugi,Other,Cryptomeria japonica,4-8,0,1,
Honewort. Canadian honewort,Other,Cryptotaenia canadensis,5-7,3,0,
Mitsuba. Japanese honewort,Other,Cryptotaenia japonica,6-9,4,1,
Berry-Bearing Catchfly,Fruit,Cucubalus baccifer,5-9,1,1,
Cushaw Pumpkin,Other,Cucurbita argyrosperma,6-9,4,2,1
Winter Squash,Other,Cucurbita maxima,5-9,5,3,2
Squash. Crookneck squash,Other,Cucurbita moschata,4-8,5,3,1
Pumpkin. Field pumpkin. Ozark melon. Texas gourd,Other,Cucurbita pepo,5-9,4,3,2
Silkworm Thorn. Storehousebush,Other,Cudrania tricuspidata,5-9,2,2,2
Stone Mint. Common dittany,Other,Cunila origanoides,5-9,2,2,2
Chinese Fir,Other,Cunninghamia lanceolata,4-8,0,2,4
Tarweed. Blue waxweed,Other,Cuphea viscosissima,4-8,2,0,
Leyland Cypress,Other,Cupressocyparis leylandii,6-9,0,0,
Arizona Cypress,Other,Cupressus arizonica,5-9,0,0,
Japanese Dodder,Other,Cuscuta japonica,5-9,1,2,0
Trailing Bellflower,Other,Cyananthus lobatus,5-9,0,2,
Cyclamen. Alpine Violet. Persian Violet,Other,Cyclamen hederifolium,3-7,0,1,
Quince,Other,Cydonia oblonga,5-9,4,2,3
Kenilworth Ivy,Other,Cymbalaria muralis,5-9,2,1,
Gamote. Widewing springparsley,Other,Cymopterus purpurascens,5-9,4,0,1
Cardoon,Other,Cynara cardunculus,4-8,3,5,1
Globe Artichoke,Other,Cynara scolymus,3-8,3,5,2
Bermuda Grass,Other,Cynodon dactylon,3-8,0,3,3
Hound's Tongue. Gypsyflower,Other,Cynoglossum officinale,6-11,1,2,2
Galingale,Other,Cyperus longus,4-8,2,1,
Nerve Root,Other,Cypripedium calceolus parviflorum,4-8,0,3,
Nerve Root,Other,Cypripedium calceolus pubescens,6-9,0,3,
Leatherwood. Swamp titi. Black Titi. Swamp. Myrtle. Titi Swamp. Leatherwood,Other,Cyrilla racemiflora,6-7,0,1,
Asian netvein hollyfern,Other,Cyrtomium fortunei,6-9,0,2,
Berry Bladder Fern. Bulblet bladderfern,Fruit,Cystopteris bulbifera,6-9,1,0,
Mountain Bladder Fern,Other,Cystopteris montana,3-7,1,0,
Prostrate Broom,Other,Cytisus decumbens,3-7,0,0,4
Broom. Scotch broom. Common Broom,Other,Cytisus scoparius,4-8,1,3,4
Cock's Foot. Orchardgrass. Ascherson's orchardgrass,Other,Dactylis glomerata,6-9,0,1,2
Marsh Orchid,Other,Dactylorhiza incarnata,6-9,2,2,
Spotted Orchid,Other,Dactylorhiza maculata,5-9,2,2,
Thrumwort,Other,Damasonium alisma,6-9,1,0,
Lilac Daphne,Other,Daphne genkwa,4-8,0,3,
Spurge Laurel,Other,Daphne laureola,5-9,0,1,0
Mezereon. Paradise plant. February Daphne,Other,Daphne mezereum,4-8,0,2,
Umbrella Plant. Indian rhubarb. Indian Rubarb. Indian Rubarb,Other,Darmera peltata,6-9,2,0,3
Thorn Apple. Jimsonweed. Jamestown Weed,Other,Datura stramonium,6-9,0,4,1
Wild Carrot. Queen anne's lace. Carrot. Wild Carrot. Queen Anne's Lace,Other,Daucus carota,6-9,2,3,4
Carrot,Vegetables,Daucus carota sativus,5-9,5,3,4
Rattlesnake Weed. American wild carrot,Other,Daucus pusillus,6-9,2,2,
Blue Sausage Fruit,Fruit,Decaisnea fargesii,4-8,3,0,0
Northern larkspur,Other,Delphinium brachycentrum,4-8,0,0,
Candle larkspur. English Larkspur,Other,Delphinium elatum,6-9,0,1,
Menzies' Larkspur,Other,Delphinium menziesii,5-9,0,1,
Red Larkspur. Larkspur,Other,Delphinium nudicaule,6-9,0,1,
Larkspur. Twolobe larkspur,Other,Delphinium nuttallianum,6-9,0,0,2
Zalil,Other,Delphinium semibarbatum,3-6,0,1,
Chrysanthemum,Other,Dendranthema indicum,4-8,2,3,
Chrysanthemum. Cut Mum. Garden Mum. Pot Mum. Florist's Chrysanthemum,Other,Dendranthema x grandiflorum,4-8,2,3,
Hay-scented fern,Other,Dennstaedtia punctilobula,6-10,0,0,3
Crinkleroot,Other,Dentaria diphylla,6-9,4,2,0
Cut-Leaved Toothwort,Other,Dentaria laciniata,6-9,3,0,
Tussock Grass. Tufted Hair Grass. Hair Grass,Other,Deschampsia caespitosa,3-7,1,0,
Prairie Mimosa. Illinois bundleflower,Other,Desmanthus illinoensis,2-7,4,1,1
Showy tick-trefoil,Other,Desmodium canadense,4-8,0,0,3
Pointed-leaved Ticktrefoil,Other,Desmodium glutinosum,6-9,0,0,3
Panicled tick trefoil,Other,Desmodium paniculatum,6-9,0,0,3
Fuzzy pride-of-rochester. Deutzia,Other,Deutzia scabra,6-9,1,0,
Sweet William,Other,Dianthus barbatus,6-9,1,0,
Carnation. Clove Pink. Border Carnation,Other,Dianthus caryophyllus,6-9,2,2,
Chinese Pink. Rainbow pink. Annual Pink. China Pink,Other,Dianthus chinensis,6-9,0,3,
Cheddar Pink,Other,Dianthus gratianopolitanus,6-9,0,0,
Pink. Feathered pink. Cottage Pink,Other,Dianthus plumarius,5-9,1,0,
Fringed Pink,Other,Dianthus superbus,6-9,2,3,
Squirrel Corn,Other,Dicentra canadensis,4-8,1,2,
Dutchman's Breeches,Other,Dicentra cucullaria,2-7,0,2,
Dwarf bleeding heart. turkey-corn,Other,Dicentra eximia,3-7,0,0,4
Bleeding Heart. Japanese Bleeding Heart. Common Bleeding Heart,Other,Dicentra spectabilis,4-8,1,0,
Wild Hyacinth,Other,Dichelostemma pulchellum,4-9,4,0,
Burning Bush. Gasplant. White Dittany.,Other,Dictamnus albus,2-11,2,3,
Bush Honeysuckle. Northern bush honeysuckle,Other,Diervilla lonicera,3-9,0,2,
Rusty Foxglove,Other,Digitalis ferruginea,2-11,0,2,
Large Yellow Foxglove,Other,Digitalis grandiflora,3-7,0,2,
Foxglove. Purple foxglove. Common Foxglove,Other,Digitalis purpurea,3-8,0,4,2
Crab Grass. Hairy crabgrass,Other,Digitaria sanguinalis,4-8,2,1,2
Chinese Yam,Other,Dioscorea batatas,5-9,5,5,3
Wild Yam,Other,Dioscorea villosa,6-9,2,4,
American Persimmon. Common persimmon. Persimmon,Other,Diospyros virginiana,2-7,5,1,3
Umbrella Leaf. American umbrellaleaf,Other,Diphylleia cymosa,5-8,0,2,
Wall Rocket. Annual wallrocket,Other,Diplotaxis muralis,5-9,3,0,0
Perennial Wall Rocket,Other,Diplotaxis tenuifolia,5-9,4,0,0
Teasel. Fuller's teasel,Other,Dipsacus fullonum,5-8,0,2,2
Fuller's Teasel. Indian teasel,Other,Dipsacus sativus,5-8,0,2,2
Leather Wood. Western leatherwood,Other,Dirca occidentalis,5-9,0,0,
Leather Wood. Eastern leatherwood,Other,Dirca palustris,4-8,0,2,
Japanese Fairy Bells,Other,Disporum sessile,6-9,1,0,
Fairybells,Other,Disporum trachycarpum,6-8,2,1,
Sailor-Caps. Mosquito bills,Other,Dodecatheon hendersonii,5-9,1,0,
Great Leopard's Bane,Other,Doronicum pardalianches,5-8,0,1,
Moldavian Balm. Moldavian dragonhead,Other,Dracocephalum moldavica,6-9,1,1,
American Dragonhead,Other,Dracocephalum parviflorum,4-8,1,1,
Sundew. Roundleaf sundew,Other,Drosera rotundifolia,4-8,1,3,
Mountain Avens. Eightpetal mountain-avens. Alaskan mountain-avens. Hooker's mountain-avens. Kamtsch,Other,Dryas octopetala,4-8,1,1,2
Narrow Buckler Fern. Spinulose woodfern,Other,Dryopteris carthusiana,2-7,2,4,
Crown Wood-Fern,Other,Dryopteris crassirhizoma,6-9,1,4,
Crested Wood Fern,Other,Dryopteris cristata,5-9,0,4,
Shield Fern,Other,Dryopteris dilatata,5-9,2,4,
Spiny Wood Fern. Spreading woodfern,Other,Dryopteris expansa,5-9,2,3,
Male Fern,Other,Dryopteris filix-mas,6-9,2,4,
Fragrant Woodfern,Other,Dryopteris fragrans,4-9,1,0,
Marginal Woodfern. Leather Wood Fern,Other,Dryopteris marginalis,5-9,0,4,0
Mountain Male Fern,Other,Dryopteris oreades,5-9,0,4,
Mock Strawberry. Indian strawberry,Fruit,Duchesnea indica,5-9,2,2,3
Echinacea. Blacksamson echinacea. Strigose blacksamson,Other,Echinacea angustifolia,5-9,0,5,2
Cone Flower. Pale purple coneflower,Other,Echinacea pallida,4-8,0,5,
Echinacea. Eastern purple coneflower. Hedge Coneflower. Black Sampson . Purple Coneflower,Other,Echinacea purpurea,4-8,1,5,2
Barnyard Millet. Barnyardgrass.,Other,Echinochloa crus-galli,4-8,3,2,0
Globe Thistle. Southern globethistle. Small Globe Thistle,Other,Echinops ritro,5-9,0,1,
Koda Tree,Other,Ehretia acuminata,4-7,2,1,
Oleaster. Russian olive,Other,Elaeagnus angustifolia,4-7,4,2,4
Silverberry,Fruit,Elaeagnus commutata,4-8,3,2,4
Broad-leaved Oleaster,Other,Elaeagnus macrophylla,4-8,5,2,3
Goumi. Cherry silverberry,Fruit,Elaeagnus multiflora,4-9,5,2,3
Goumi,Other,Elaeagnus multiflora ovata,6-9,5,2,3
Trebizond Date,Other,Elaeagnus orientalis,4-8,4,2,2
Autumn olive,Other,Elaeagnus parvifolia,5-9,4,2,2
Elaeagnus. Thorny olive. Thorny Elaeagnus. Oleaster. Silverberry. Silverthorn. Pungent Elaeagnus,Fruit,Elaeagnus pungens,5-9,5,2,3
Autumn Olive,Other,Elaeagnus umbellata,6-9,4,2,3
Elaeagnus. Ebbing's Silverberry,Fruit,Elaeagnus x ebbingei,4-8,5,2,4
Common Spike-Rush. Common spikerush,Other,Eleocharis palustris,5-8,1,0,
Wu Jia Pi,Other,Eleutherococcus gracylistylus,4-8,1,3,
Taka-No-Tsume,Other,Eleutherococcus innovans,4-8,1,0,
Siberian Ginseng,Other,Eleutherococcus senticosus,5-9,2,5,
Ukogi. Five Leafed Aralia,Other,Eleutherococcus sieboldianus,6-8,3,0,2
Crested latesummer mint,Other,Elsholtzia ciliata,5-9,2,2,0
Ji Gu Chai,Other,Elsholtzia fruticosa,4-8,1,1,
Canadian Wild Rye,Other,Elymus canadensis,5-9,2,0,
Blue Wild Rye,Other,Elymus glauca,6-9,2,0,
Wild triga. Pubescent wheatgrass.,Other,Elymus hispidus,6-9,4,0,4
Sand Couch,Other,Elytrigia juncea,4-8,0,0,
Rockberry. Purple crowberry,Fruit,Empetrum eamesii,3-7,2,0,
Mountain Crowberry. Rockberry,Fruit,Empetrum eamesii hermaphroditum,6-9,2,0,
Crowberry. Black crowberry. Black Crowberry,Fruit,Empetrum nigrum,4-8,3,2,1
Sea Grape. Jointfir,Other,Ephedra distachya,5-9,2,4,
Ma Huang. Gerard jointfir,Other,Ephedra gerardiana,5-9,2,4,
Zhong Ma Huang,Other,Ephedra intermedia,6-9,1,4,
Ma Huang,Other,Ephedra major,5-9,1,4,
Mormon Tea. Nevada jointfir,Other,Ephedra nevadensis,6-9,3,3,0
Mormon Tea. Brigham Tea. Long Leaf Ephedra. Mountain Joint Fir. Mormon Tea. Ephedra,Other,Ephedra viridis,4-8,2,3,
Mayflower. Trailing arbutus. Ground Laurel,Other,Epigaea repens,6-9,2,2,2
Willow Herb,Herbs,Epilobium angustifolium,4-8,3,2,2
River Beauty,Other,Epilobium latifolium,5-9,3,2,1
Barrenwort. Bishop's Hat. Longspur Epimedium,Other,Epimedium grandiflorum,4-8,2,3,
Yin Yang Huo,Other,Epimedium sagittatum,6-11,2,3,
Field Horsetail,Other,Equisetum arvense,4-8,2,3,4
Dutch Rush. Scouringrush horsetail. Horsetail. Scouring Rush. Rough Horsetail,Other,Equisetum hyemale,4-8,2,2,3
Meadow Horsetail,Other,Equisetum pratense,6-9,2,2,2
Dwarf scouring rush,Other,Equisetum scirpoides,5-9,2,2,3
Giant Horsetail,Other,Equisetum telmateia,5-9,1,1,3
Weeping Love Grass,Other,Eragrostis curvula,5-9,1,0,
Soft Love Grass. Indian lovegrass,Other,Eragrostis pilosa,6-9,1,1,0
Foxtail Lily,Other,Eremurus stenophyllus aurantiacus,4-7,1,0,
Bog Heather. Crossleaf heath,Other,Erica tetralix,5-9,0,0,3
Cornish Heath. Cornish heath,Other,Erica vagans,4-8,0,0,3
Darley Dale Heath. Cape Heath. Molten Silver Heath. Heather,Other,Erica x darleyensis,4-8,0,0,2
Annual Fleabane. Eastern daisy fleabane,Other,Erigeron annuus,4-8,1,0,0
Beach Aster. Seaside fleabane,Other,Erigeron glaucus,4-7,0,0,
Robin s plantain. blue spring daisy. hairy fleabane,Other,Erigeron pulchellus,5-9,0,0,3
Crispleaf Buckwheat. Las Vegas wild buckwheat,Other,Eriogonum corymbosum,4-8,1,1,
Antelope Sage. James' buckwheat,Other,Eriogonum jamesii,4-8,0,2,
Slender Buckwheat. Alpine slender buckwheat. San Bernardino buckwheat. Johnston's buckwheat. Panamin,Other,Eriogonum microthecum,5-7,1,1,
Cotton Grass. Tall cottongrass,Other,Eriophorum angustifolium,6-9,2,1,
Musk Storksbill,Other,Erodium moschatum,4-8,2,1,
Rocket,Herbs,Eruca vesicaria sativa,5-9,4,1,
Button Snakeroot. Rattlesnakemaster,Other,Eryngium aquaticum,5-9,0,2,
Field Eryngo,Other,Eryngium campestre,4-8,2,2,
Sea Holly. Seaside eryngo,Other,Eryngium maritimum,5-9,3,3,2
Plains eryngo. Blue Cap. Eringoe. Eryngo. Flat Sea Holly,Other,Eryngium planum,4-8,0,1,
Button Eryngo,Other,Eryngium yuccifolium,4-8,0,2,
Coastal Wallflower. Sanddune wallflower. Contra Costa wallflower. San Luis Obispo wallflower. Pursh',Other,Erysimum capitatum,4-8,0,2,
Wormseed Mustard,Other,Erysimum cheiranthoides,5-9,0,1,0
Wallflower. Aegean wallflower,Other,Erysimum cheiri,4-8,0,2,
European wallflower.,Other,Erysimum hieraciifolium,4-8,2,0,
Bushy Wallflower. Spreading wallflower,Other,Erysimum repandum,4-8,0,1,0
Siberian Wallflower,Other,Erysimum x allionii,4-8,0,0,
White Trout-Lily. White fawnlily,Other,Erythronium albidum,4-8,3,0,
Prairie Trout Lily,Other,Erythronium albidum mesochoreum,5-9,3,0,
Trout Lily. Dogtooth violet,Other,Erythronium americanum,4-8,4,1,3
Dog's-Tooth Violet,Other,Erythronium dens-canis,4-8,3,0,
Avalanche Lily. Yellow avalanche-lily,Other,Erythronium grandiflorum,4-8,3,1,
Mt. St. Helena Fawm Lily. Pacific fawnlily,Other,Erythronium helenae,5-9,2,0,
Giant White Fawnlily,Other,Erythronium oregonum,5-9,2,1,
Pink Fawn Lily. Mahogany fawnlily,Other,Erythronium revolutum,4-8,3,0,
Tuolumne Fawn Lily. Dog's Tooth Violet. Pagoda Lily,Other,Erythronium tuolumnense,5-9,2,0,
Californian Poppy,Other,Eschscholzia californica,5-9,1,3,2
Snow Gum,Other,Eucalyptus pauciflora niphophila,4-8,0,3,
Gutta-Percha,Other,Eucommia ulmoides,6-9,1,3,
Winged Spindle Tree. Burningbush. Corky spindletree,Other,Euonymus alatus,6-9,1,2,0
Winged Spindle Tree,Other,Euonymus alatus apterus,4-8,1,2,
Strawberry Bush. Bursting-heart,Fruit,Euonymus americanus,4-8,0,2,
Wahoo- Indian Arrow Wood - Burning Bush. Eastern wahoo,Other,Euonymus atropurpureus,4-8,1,2,
Spindle Tree. European spindletree,Other,Euonymus europaeus,4-8,1,2,3
Winter Creeper. Wintercreeper Euonymus,Other,Euonymus fortunei,5-9,0,1,0
Hamilton's spindletree,Other,Euonymus hamiltonianus,4-8,1,0,
Japanese Spindle Tree. Box-leaf Euonymus. Evergreen Euonymus. Japanese Euonymus,Other,Euonymus japonicus,4-8,1,1,
Euonymus,Other,Euonymus sachalinensis,6-8,1,0,
Hemp Agrimony,Other,Eupatorium cannabinum,4-8,0,3,
Dogfennel,Other,Eupatorium capillifolium,4-8,0,1,0
Hyssopleaf thoroughwort,Other,Eupatorium hyssopifolium,5-9,0,1,
Pei Lan,Other,Eupatorium japonicum,5-9,1,3,
Joe Pye Weed. Spotted joe pye weed,Other,Eupatorium maculatum,6-9,0,2,
Gravel Root,Other,Eupatorium purpureum,4-8,1,3,2
Wild Spurge. Flowering spurge,Other,Euphorbia corollata,4-8,0,2,2
Leafy Spurge. Green spurge,Other,Euphorbia esula,4-8,0,0,4
Caper Spurge. Moleplant,Other,Euphorbia lathyris,5-9,1,2,3
Mountain Snow. Ghost Spurge. Ghost Weed,Other,Euphorbia marginata,5-9,1,1,3
Naboom,Other,Euphorbia tetragona,5-8,1,1,2
Eyebright,Other,Euphrasia officinalis,4-8,1,3,
Euptelea,Other,Euptelea polyandra,4-8,1,0,
White wood aster,Other,Eurybia divaricata,6-9,2,0,2
Buckwheat,Other,Fagopyrum esculentum,2-11,4,3,4
Perennial Buckwheat,Other,Fagopyrum spp.,2-11,4,3,2
Japanese Beech,Other,Fagus crenata,2-11,2,0,
American Beech,Other,Fagus grandifolia,2-11,2,2,3
Japanese Beech,Other,Fagus japonica,6-9,2,0,
Oriental Beech,Other,Fagus orientalis,5-9,2,0,
Beech. European beech. Common Beech,Other,Fagus sylvatica,6-9,4,2,4
Apache Plume,Other,Fallugia paradoxa,6-9,0,0,
Leopard Plant,Other,Farfugium japonicum,6-10,1,1,
Fountain Bamboo,Other,Fargesia nitida,6-9,0,0,
Galbanum,Other,Ferula gummosa,5-9,2,2,
Sheep's Fescue,Other,Festuca ovina,3-7,1,0,
Meadow fescue,Other,Festuca pratensis,6-9,1,0,3
Fig. Edible fig. Fig Common,Other,Ficus carica,5-9,4,2,1
Queen Of The Prairie. Meadowsweet,Other,Filipendula rubra,3-7,0,1,
Meadowsweet. Queen of the meadow. Double Lady of the Meadow. European Meadowsweet,Other,Filipendula ulmaria,6-9,3,3,3
Dropwort. Meadowsweet,Other,Filipendula vulgaris,5-9,2,1,
Fennel. Sweet fennel,Other,Foeniculum vulgare,5-9,5,3,4
Florence Fennel,Other,Foeniculum vulgare azoricum,6-9,3,3,3
Sweet Fennel,Other,Foeniculum vulgare dulce,5-9,4,3,4
Xue Liu,Other,Fontanesia phillyreoides fortunei,6-9,0,0,
Wild Olive,Other,Forestiera neomexicana,4-8,2,0,
Lian Qiao. Weeping forsythia,Other,Forsythia suspensa,4-8,1,3,3
Golden Bells. Greenstem forsythia. Forsythia,Other,Forsythia viridissima,5-10,0,2,3
Golden Bell. Border Forsythia,Other,Forsythia x intermedia,5-9,0,0,3
Strawberry. Beach strawberry. Pacific beach strawberry. Sandwich beach strawberry. Virginia strawber,Fruit,Fragaria,4-8,3,0,
