Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
American saltmarsh bulrush,Bolboschoenus maritimus ssp. paludosus,Cyperaceae,Bolboschoenus,maritimus,Y,,8,N,Y,Vascular,Coastal and inland salt marshes. edges of inland salt ponds. and swales and ditches with saline or brackish water. In non-tidal situations it often grows in standing water. at least seasonally. up to 1-2 meters deep.,Herbaceous,Perennial,Threatened-State,,Bolboschoenus maritimus (L.) Palla ssp. paludosus (A. Nelson) T. Koyama,(L.) Palla,ssp. paludosus,(A. Nelson) T. Koyama
borage,Borago officinalis,Boraginaceae,Borago,officinalis,N,U,,N,Y,Vascular,,Forb/herb,Annual,,,Borago officinalis L.,L.,,
sicklepod,Borodinia canadensis,Brassicaceae,Borodinia,canadensis,Y,,7,N,Y,Vascular,Forested banks of streams. thin forests and woodlands. and edges of forests.  In mesic to dry thin or well drained soils.,Forb/herb,Biennial,,,Borodinia canadensis (L.) P.J. Alexander & Windham,(L.) P.J. Alexander & Windham,,
smooth rock cress,Borodinia laevigata,Brassicaceae,Borodinia,laevigata,Y,,7,N,Y,Vascular,Slopes of mesic to dry-mesic forests. woodlands. ledges. rock outcrops. and thin soil over bedrock. On limestone and calcareous soils and more acidic rocks and soils.,Forb/herb,Biennial,,,Borodinia laevigata (Muhl. ex Willd.) P.J. Alexander & Windham,(Muhl. ex Willd.) P.J. Alexander & Windham,,
narrow triangle moonwort,Botrychium angustisegmentum,Ophioglossaceae,Botrychium,angustisegmentum,Y,,7,N,Y,Vascular,Rich mesic sometimes early successional hardwood forests.,Forb/herb,Perennial,,,Botrychium angustisegmentum (Pease & A.H. Moore) Fernald,(Pease & A.H. Moore) Fernald,,
dissected grape fern,Botrychium dissectum,Ophioglossaceae,Botrychium,dissectum,Y,,3,N,Y,Vascular,Fields. pastures. successional forests. mesic forests. forest clearings. utility rights-of-way. and edges of dirt roads. Mostly in thin poor dry to mesic soils in areas of past disturbance.,Forb/herb,Perennial,,,Botrychium dissectum Spreng.,Spreng.,,
daisy-leaved moonwort,Botrychium matricariifolium,Ophioglossaceae,Botrychium,matricariifolium,Y,,7,N,Y,Vascular,Mostly in mesic forests often in rich sites. Also on edges of dirt roads.,Forb/herb,Perennial,,,Botrychium matricariifolium (Doll) A. Braun ex W.D.J. Koch,(Doll) A. Braun ex W.D.J. Koch,,
leathery grape fern,Botrychium multifidum,Ophioglossaceae,Botrychium,multifidum,Y,,3,N,Y,Vascular,Fields. roadsides. clearings in forests. and successional forests. Mostly in thin poor soils in open habitats.,Forb/herb,Perennial,,,Botrychium multifidum (S.G. Gmel.) Rupr.,(S.G. Gmel.) Rupr.,,
Oneida grape fern. blunt-lobed grape fern,Botrychium oneidense,Ophioglossaceae,Botrychium,oneidense,Y,,5,N,Y,Vascular,Rich low mesic forests.,Forb/herb,Perennial,Threatened-State,,Botrychium oneidense (Gilbert) House,(Gilbert) House,,
rattlesnake fern,Botrychium virginianum,Ophioglossaceae,Botrychium,virginianum,Y,,8,N,Y,Vascular,Rich mesic hardwood forests.,Forb/herb,Perennial,,,Botrychium virginianum (L.) Sw.,(L.) Sw.,,
northern shorthusk,Brachyelytrum aristosum,Poaceae,Brachyelytrum,aristosum,Y,,7,N,Y,Vascular,Mesic hardwood forests often in cooler and more northern sites than B. erectum.,Graminoid,Perennial,,,Brachyelytrum aristosum (Michx.) P. Beauv. ex Trel.,(Michx.) P. Beauv. ex Trel.,,
southern shorthusk,Brachyelytrum erectum,Poaceae,Brachyelytrum,erectum,Y,,6,N,Y,Vascular,Mesic to dry-mesic hardwood forests often in warmer and more southern sites than B. aristosum. Sometimes in calcareous sites.,Graminoid,Perennial,,,Brachyelytrum erectum (Schreb.) P. Beauv.,(Schreb.) P. Beauv.,,
watershield,Brasenia schreberi,Cabombaceae,Brasenia,schreberi,Y,,8,N,Y,Vascular,Ponds. lakes. and slow moving streams.,Forb/herb,Perennial,,,Brasenia schreberi J.F. Gmel.,J.F. Gmel.,,
Chinese mustard. mustard greens,Brassica juncea,Brassicaceae,Brassica,juncea,N,Y,,N,Y,Vascular,,Herbaceous,Annual,,,Brassica juncea (L.) Czern.,(L.) Czern.,,
black mustard,Brassica nigra,Brassicaceae,Brassica,nigra,N,Y,,N,Y,Vascular,Gravel bars of streams. stream banks. fields. roadsides. and disturbed areas.,Forb/herb,Annual,,,Brassica nigra (L.) W.D.J. Koch,(L.) W.D.J. Koch,,
fringed brome,Bromus ciliatus,Poaceae,Bromus,ciliatus,Y,,8,N,Y,Vascular,Fens. marshes. and alluvial thickets and forests.,Graminoid,Perennial,,,Bromus ciliatus L.,L.,,
hairy brome,Bromus commutatus,Poaceae,Bromus,commutatus,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Bromus commutatus Schrad.,Schrad.,,
soft brome,Bromus hordeaceus,Poaceae,Bromus,hordeaceus,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Bromus hordeaceus L.,L.,,
smooth brome,Bromus inermis,Poaceae,Bromus,inermis,N,Y,,N,Y,Vascular,Pastures. hayfields. successional fields. and roadsides.,Graminoid,Perennial,,,Bromus inermis Leyss.,Leyss.,,
Japanese brome,Bromus japonicus,Poaceae,Bromus,japonicus,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Bromus japonicus Houtt.,Houtt.,,
Kalm s brome,Bromus kalmii,Poaceae,Bromus,kalmii,Y,,9,N,Y,Vascular,,Graminoid,Perennial,,,Bromus kalmii A. Gray,A. Gray,,
flanged brome,Bromus latiglumis,Poaceae,Bromus,latiglumis,Y,,7,N,Y,Vascular,Forested and open sites including floodplains on deep alluvial soils.,Herbaceous,Perennial,,,Bromus latiglumis (Scribn. ex Shear) Hitchc.,(Scribn. ex Shear) Hitchc.,,
satin brome,Bromus nottowayanus,Poaceae,Bromus,nottowayanus,Y,,7,N,Y,Vascular,In New York this species occurs predominately in alluvial woods and thickets of small to medium sized streams.,Herbaceous,Perennial,Endangered-State,,Bromus nottowayanus Fernald,Fernald,,
Canada brome,Bromus pubescens,Poaceae,Bromus,pubescens,Y,,8,N,Y,Vascular,Dry often calcareous open forests or woodlands with moderate to low density of adjacent herbaceous vegetation.,Graminoid,Perennial,,,Bromus pubescens Muhl. ex Willd.,Muhl. ex Willd.,,
rye brome,Bromus secalinus,Poaceae,Bromus,secalinus,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Bromus secalinus L.,L.,,
cheat grass. downy brome. downy chess,Bromus tectorum,Poaceae,Bromus,tectorum,N,Y,,N,Y,Vascular,,Graminoid,Annual,,,Bromus tectorum L.,L.,,
bluehearts,Buchnera americana,Orobanchaceae,Buchnera,americana,Y,,10,N,Y,Vascular,,Herbaceous,Biennial,Endangered-State,,Buchnera americana L.,L.,,
orange-eyed butterfly bush,Buddleja davidii,Scrophulariaceae,Buddleja,davidii,N,Y,,N,Y,Vascular,,Shrub,Perennial,,,Buddleja davidii Franch.,Franch.,,
corn gromwell,Buglossoides arvensis,Boraginaceae,Buglossoides,arvensis,N,Y,,N,Y,Vascular,,Forb/herb,,,,Buglossoides arvensis (L.) I.M. Johnston,(L.) I.M. Johnston,,
American sea rocket,Cakile edentula var. edentula,Brassicaceae,Cakile,edentula,Y,,7,N,Y,Vascular,Maritime sandy areas mostly on beaches in or just above the wrack line.,Forb/herb,,,,Cakile edentula (Bigelow) Hook. var. edentula,(Bigelow) Hook.,var. edentula,
lake sea rocket,Cakile edentula var. lacustris,Brassicaceae,Cakile,edentula,Y,,8,N,Y,Vascular,,Forb/herb,,,,Cakile edentula (Bigelow) Hook. var. lacustris Fernald,(Bigelow) Hook.,var. lacustris,Fernald
beach grass,Calamagrostis breviligulata,Poaceae,Calamagrostis,breviligulata,Y,,8,N,Y,Vascular,Maritime dunes and also planted and naturalizing along the shores of Lake Ontario.,Graminoid,Perennial,,,Calamagrostis breviligulata (Fernald) Saarela,(Fernald) Saarela,,
Canada bluejoint grass,Calamagrostis canadensis var. canadensis,Poaceae,Calamagrostis,canadensis,Y,,7,N,Y,Vascular,Swamps. marshes. wet roadsides in the northern and cooler parts of New York. and rarely in mesic forest openings. This taxon does well in wet-mesic openings and disturbed areas in forests and is very common in the cooler and more northern parts of New York.,Graminoid,Perennial,,,Calamagrostis canadensis (Michx.) P. Beauv. var. canadensis,(Michx.) P. Beauv.,var. canadensis,
calendula. pot marigold,Calendula officinalis,Asteraceae,Calendula,officinalis,N,N,,N,Y,Vascular,Commonly cultivated.,Forb/herb,Annual,,,Calendula officinalis L.,L.,,
wild calla,Calla palustris,Araceae,Calla,palustris,Y,,7,N,Y,Vascular,Cool Tsuga canadensis. mixed coniferous-hardwood. and coniferous swamps. Also in cool seepages.,Forb/herb,Perennial,,,Calla palustris L.,L.,,
large water starwort,Callitriche heterophylla ssp. heterophylla,Plantaginaceae,Callitriche,heterophylla,Y,,8,N,Y,Vascular,Slow moving streams and still waters of drainage pools. Slow moving water.,Herbaceous,Annual,,,Callitriche heterophylla Pursh ssp. heterophylla,Pursh,ssp. heterophylla,
vernal water starwort,Callitriche palustris,Plantaginaceae,Callitriche,palustris,Y,,6,N,Y,Vascular,Ditches. streams. tidal streams. and drainages and pools in marshes and swamps. Mostly in slow to somewhat faster moving water. Also stranded on edges of streams and drainage channels.,Forb/herb,Perennial,,,Callitriche palustris L.,L.,,
grass pink,Calopogon tuberosus var. tuberosus,Orchidaceae,Calopogon,tuberosus,Y,,10,N,Y,Vascular,Bogs and fens. In a wide variety of peatlands from very acidic to basic soils. Primarily in very open sites but sometimes in more shaded situations.,Forb/herb,Perennial,,,Calopogon tuberosus (L.) Britton. Sterns & Poggenb. var. tuberosus,(L.) Britton. Sterns & Poggenb.,var. tuberosus,
marsh marigold,Caltha palustris,Ranunculaceae,Caltha,palustris,Y,,4,N,Y,Vascular,Forest and shrub swamps. marshes. backwater sloughs of streams. rich fens. and seeps. Predominately in shallow still water with mucky soils. Sometimes forming large dense populations.,Forb/herb,Perennial,,,Caltha palustris L.,L.,,
hedge bindweed,Calystegia sepium,Convolvulaceae,Calystegia,sepium,Y,,0,N,Y,Vascular,,Vine. Forb/herb,Perennial,,,Calystegia sepium (L.) R. Br.,(L.) R. Br.,,
low bindweed,Calystegia spithamaea ssp. spithamaea,Convolvulaceae,Calystegia,spithamaea,Y,,7,N,Y,Vascular,Thin or rocky soils in woodlands. thin forests. and forest openings. Often on fine talus or steep slopes with a thin but diverse assemblage of interesting herbaceous plants.,Vine. Forb/herb,,,,Calystegia spithamaea (L.) Pursh ssp. spithamaea,(L.) Pursh,ssp. spithamaea,
small-fruited gold-of-pleasure. false flax,Camelina microcarpa,Brassicaceae,Camelina,microcarpa,N,Y,,N,Y,Vascular,,Herbaceous,Biennial,,,Camelina microcarpa Andrz. ex DC.,Andrz. ex DC.,,
tall bellflower,Campanula americana,Campanulaceae,Campanula,americana,Y,,7,N,Y,Vascular,Thin deciduous forests. bottomland forests. thickets. and disturbed areas often in alluvial soils. Perhaps most common in bottomlands but rare in NY.,Forb/herb,Perennial,Endangered-State,,Campanula americana L.,L.,,
marsh bellflower,Campanula aparinoides,Campanulaceae,Campanula,aparinoides,Y,,8,N,Y,Vascular,Often leaning on and growing up adjacent herbaceous vegetation. Stream margins. marshes. and wet thickets.,Forb/herb,Perennial,,,Campanula aparinoides Pursh,Pursh,,
creeping bellflower,Campanula rapunculoides,Campanulaceae,Campanula,rapunculoides,N,Y,,N,Y,Vascular,Roadsides. disturbed areas. and old home sites. A non-native that is cultivated and clearly naturalized but usually is only found uncommonly scattered around. It also persists well from plantings.,Forb/herb,Perennial,,,Campanula rapunculoides L.,L.,,
harebell,Campanula rotundifolia,Campanulaceae,Campanula,rotundifolia,Y,,8,N,Y,Vascular,Dry to wet calcareous and acidic open rocky areas often on or in cracks of rocks and also in adjacent soils. Gravel shores. ledges. cliffs. rocky outcrops and summits. and river banks.  ,Forb/herb,Perennial,,,Campanula rotundifolia L.,L.,,
hemp. marijuana,Cannabis sativa,Cannabaceae,Cannabis,sativa,N,N,,N,Y,Vascular,Naturalized or perhaps merely adventive. In addition. it is cultivated in secretive often remote natural locations and will be encountered from time to time in such situations. ,Forb/herb,Annual,,,Cannabis sativa L.,L.,,
rock harlequin. pink corydalis,Capnoides sempervirens,Papaveraceae,Capnoides,sempervirens,Y,,8,N,Y,Vascular,Cracks in rock outcrops and soils adjacent to exposed bedrock on rocky summits. cliffs. ledges. and woodlands. Primarily on acidic rocks in open exposed habitats but sometimes in more shaded rocky sites.,Herbaceous,Perennial,,,Capnoides sempervirens (L.) Borkh.,(L.) Borkh.,,
spring cress. bulbous spring cress,Cardamine bulbosa,Brassicaceae,Cardamine,bulbosa,Y,,7,N,Y,Vascular,Seepage areas in forests. cool swamps. and wet thickets. Mucky perennially saturated to slightly inundated soils or occasionally in drier sites. In swamps it occurs in between hummocks on the lowest parts of the swamp. ,Forb/herb,Perennial,,,Cardamine bulbosa (Schreb. ex Muhl.) Britton. Sterns & Poggenb.,(Schreb. ex Muhl.) Britton. Sterns & Poggenb.,,
cut-leaved toothwort,Cardamine concatenata,Brassicaceae,Cardamine,concatenata,Y,,6,N,Y,Vascular,Mesic deciduous forests. stream banks. sandy bars in streams. and bottomlands. Usually in deep rich soils on lower and bottom parts of slopes. Much less common if not absent from the cooler parts of the state.,Forb/herb,Perennial,,,Cardamine concatenata (Michx.) O. Schwarz,(Michx.) O. Schwarz,,
two-leaved toothwort,Cardamine diphylla,Brassicaceae,Cardamine,diphylla,Y,,7,N,Y,Vascular,Rich mesic deciduous forests. seepage areas. bottomlands. and stream banks. Growing in richer often slightly wetter soils than C. concatenata but in places growing together. Much less common in cooler parts of NY.,Forb/herb,Perennial,,,Cardamine diphylla (Michx.) Alph. Wood,(Michx.) Alph. Wood,,
purple spring cress. pink spring cress,Cardamine douglassii,Brassicaceae,Cardamine,douglassii,Y,,7,N,Y,Vascular,Rich mesic deciduous forests and mesic bottomland forests and thickets. Preferring lower and bottom parts of slopes in deep rich calcareous soils.,Forb/herb,Perennial,Threatened-State,,Cardamine douglassii Britton,Britton,,
Pennsylvania bitter cress,Cardamine pensylvanica,Brassicaceae,Cardamine,pensylvanica,Y,,4,N,Y,Vascular,Swamps. stream banks. gravel bars in streams. small drainages. seepage areas. and marshes. A common species of wet habitats it mostly grows in saturated to seasonally slightly inundated often mucky soils.,Herbaceous,Biennial,,,Cardamine pensylvanica Muhl. ex Willd.,Muhl. ex Willd.,,
cuckoo flower,Cardamine pratensis,Brassicaceae,Cardamine,pratensis,Y,,7,N,Y,Vascular,Lawns. roadsides. riparian forests. and cool swamps. Sometimes in similar habitat to C. bulbosa but other times in weedy drier sites perhaps representing native and non-native populations.,Forb/herb,Perennial,,,Cardamine pratensis L.,L.,,
round-leaved water cress. mountain water cress,Cardamine rotundifolia,Brassicaceae,Cardamine,rotundifolia,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Cardamine rotundifolia Michx.,Michx.,,
nodding thistle. musk thistle,Carduus nutans,Asteraceae,Carduus,nutans,N,Y,,N,Y,Vascular,Successional fields. A very showy but uncommon non-native species.,Herbaceous,Biennial,,,Carduus nutans L.,L.,,
summer sedge,Carex aestivalis,Cyperaceae,Carex,aestivalis,Y,,7,N,Y,Vascular,Mesic hardwood forests.,Graminoid,Perennial,,,Carex aestivalis M.A. Curtis ex A. Gray,M.A. Curtis ex A. Gray,,
broad-winged sedge,Carex alata,Cyperaceae,Carex,alata,Y,,9,N,Y,Vascular,Peaty swamp. edges of ponds. and shrubby wet thickets. Sometimes on the bases of Decodon verticillata on pond edges.,Graminoid,Perennial,,,Carex alata Torr.,Torr.,,
white-tinged sedge,Carex albicans,Cyperaceae,Carex,albicans,Y,,7,N,Y,Vascular,Dry-mesic to mesic hardwood forests often of a southern affinity. forest edges and openings. woodlands. rocky summits. occasional on edges of seasonal drainages. dirt road banks. and utility rights-of-way. Primarily grows in at least some shade.,Graminoid,Perennial,,,Carex albicans Willd. ex Spreng.,Willd. ex Spreng.,,
white bear sedge,Carex albursina,Cyperaceae,Carex,albursina,Y,,8,N,Y,Vascular,Rich mesic forests often low on slopes. Mostly in deep rich and/or calcareous soils.,Graminoid,Perennial,,,Carex albursina E. Sheld.,E. Sheld.,,
yellow-fruited sedge,Carex annectens,Cyperaceae,Carex,annectens,Y,,1,N,Y,Vascular,Dry to wet fields. openings in mesic forests. gravel pits. and edge of ponds. Apparently more common in eastern and southeastern New York.,Graminoid,Perennial,,,Carex annectens (E.P. Bicknell) E.P. Bicknell,(E.P. Bicknell) E.P. Bicknell,,
Appalachian sedge,Carex appalachica,Cyperaceae,Carex,appalachica,Y,,6,N,Y,Vascular,Mesic forests. sometimes associated with ledges. Does particularly well in rich soils.,Graminoid,Perennial,,,Carex appalachica J.M. Webber & P.W. Ball,J.M. Webber & P.W. Ball,,
water sedge,Carex aquatilis,Cyperaceae,Carex,aquatilis,Y,,9,N,Y,Vascular,,Graminoid,Perennial,,,Carex aquatilis Wahlenb.,Wahlenb.,,
drooping wood sedge,Carex arctata,Cyperaceae,Carex,arctata,Y,,7,N,Y,Vascular,Hardwood. coniferous. and mixed hardwood-coniferous forests. Very common in forests in the northern and cooler parts of New York.,Graminoid,Perennial,,,Carex arctata Boott,Boott,,
wide-leaved prickly bog sedge,Carex atlantica ssp. atlantica,Cyperaceae,Carex,atlantica,Y,,8,N,Y,Vascular,Wet pond margins. stream edges. shrub swamps. hardwood swamps. hummock in bogs. and floating logs. Grows in acidic wet sometimes peaty soils.,Herbaceous,Perennial,,,Carex atlantica L.H. Bailey ssp. atlantica,L.H. Bailey,ssp. atlantica,
golden-fruited sedge,Carex aurea,Cyperaceae,Carex,aurea,Y,,6,N,Y,Vascular,Fens. swamps. wet fields. wet rocky ledges and cliffs. river shores. seepy calcareous roadsides. alvars. and mesic forests adjacent to swamps. Mostly grows in open sites but can also be found in somewhat shaded environments. It does particularly well on edges of rivulets through fens where the adjacent herbaceous vegetation is not dense or tall. In a similar fashion. it does well on calcareous open seepy rock outcrops. It is mostly associated with high pH water and/or soils.,Graminoid,Perennial,,,Carex aurea Nutt.,Nutt.,,
Bebb s sedge,Carex bebbii,Cyperaceae,Carex,bebbii,Y,,5,N,Y,Vascular,Fens. marshes. ditches. edges of swamps. and edges of ponds. Predominately in calcareous soils in open habitats with saturated or inundated soils.,Graminoid,Perennial,,,Carex bebbii (L.H. Bailey) Olney ex Fernald,(L.H. Bailey) Olney ex Fernald,,
Billings s sedge,Carex billingsii,Cyperaceae,Carex,billingsii,Y,,10,N,Y,Vascular,On tops and edges of hummocks in open bogs. These hummocks often are dominated by dwarf shrubs and trees and are carpeted with Sphagnum spp.,Graminoid,Perennial,,,Carex billingsii (O.W. Knight) Kirschb.,(O.W. Knight) Kirschb.,,
common woodland sedge,Carex blanda,Cyperaceae,Carex,blanda,Y,,4,N,Y,Vascular,Forests. edges of forests. fields. edges of small streams. paths and roads through forests. railroad edges. and utility rights-of-way. Occurs in a variety of forests including bottomlands as well as more open sites. Usually in mesic but also in dry-mesic to wet soils.,Graminoid,Perennial,,,Carex blanda Dewey,Dewey,,
round-fruited sedge,Carex brevior,Cyperaceae,Carex,brevior,Y,,5,N,Y,Vascular,Rocky summits. bluffs. open forests with outcrops of bedrock. woodlands. native grasslands. roadsides. gravel and sand pits. disturbed soils. and utility rights-of-way. Mostly in very dry rocky or coarse grained soils. It does very well in calcareous soils and occurs rarely in the most acidic environments.,Graminoid,Perennial,,,Carex brevior (Dewey) Mack. ex Lunell,(Dewey) Mack. ex Lunell,,
brome-like sedge,Carex bromoides ssp. bromoides,Cyperaceae,Carex,bromoides,Y,,7,N,Y,Vascular,Forming dense stands of large low tussocks. Swamps. seeps. wet woods. and rarely a lone individual in more mesic forests. Occasionally in more open wetlands. It does particularly well in rich sites and is perhaps restricted to such situations in the northern parts of New York. The narrow abundant leaves in dense tussocks is conspicuous and distinctive.,Herbaceous,Perennial,,,Carex bromoides Schkuhr ex Willd. ssp. bromoides,Schkuhr ex Willd.,ssp. bromoides,
brownish sedge,Carex brunnescens,Cyperaceae,Carex,brunnescens,Y,,8,N,Y,Vascular,More common in the northern and cooler parts of the state. Wet-mesic to mesic forests. thickets. forest openings. and alpine meadows. Often in rocky acidic soils.,Graminoid,,,,Carex brunnescens (Pers.) Poir.,(Pers.) Poir.,,
typical hoary sedge,Carex canescens ssp. canescens,Cyperaceae,Carex,canescens,Y,,7,N,Y,Vascular,,Graminoid,Perennial,,,Carex canescens L. ssp. canescens,L.,ssp. canescens,
cluster-headed sedge,Carex cephaloidea,Cyperaceae,Carex,cephaloidea,Y,,4,N,Y,Vascular,Forests. forest edges. thickets. and edges of fields. Predominately in mesic rich soils including deep alluvium.,Herbaceous,Perennial,,,Carex cephaloidea (Dewey) Dewey,(Dewey) Dewey,,
oval-headed sedge,Carex cephalophora,Cyperaceae,Carex,cephalophora,Y,,5,N,Y,Vascular,Forests. woodlands. rocky summits. and rarely fields. On upper slopes and summits. Usually in areas with some tree canopy although it occasionally occurs in open habitats. Mostly in dry to mesic rocky or thin soils often with thin adjacent herbaceous vegetation.,Graminoid,Perennial,,,Carex cephalophora Muhl. ex Willd.,Muhl. ex Willd.,,
common sedge,Carex communis var. communis,Cyperaceae,Carex,communis,Y,,7,N,Y,Vascular,Dry-mesic to mesic hardwood and hardwood-coniferous forests. forest edges. rocky slopes. banks of tiny drainages. paths and roads through forests. and road banks. Clearly has some affinity for mesic rocky forests and often occurs on mid and upper slopes in rich to some what poorer soils.,Graminoid,Perennial,,,Carex communis L.H. Bailey var. communis,L.H. Bailey,var. communis,
bristly sedge,Carex comosa,Cyperaceae,Carex,comosa,Y,,4,N,Y,Vascular,Marshes. edges of ponds and streams. openings in swamps. and acidic peaty wetlands. Often grows in at least seasonally inundated soils. A large coarse rough plant sometimes forming extensive patches in open marshes.,Graminoid,Perennial,,,Carex comosa Boott,Boott,,
common fringed sedge,Carex crinita var. crinita,Cyperaceae,Carex,crinita,Y,,3,N,Y,Vascular,Marshes. wet areas in forests. seepages. marshy edges of small streams and ponds. wet fields and pastures. and wet ditches.  A very common wetland sedge except perhaps in northern New York. In comparison to C. gynandra. it is perhaps a little less weedy and grows in acidic to basic soils.,Graminoid,Perennial,,,Carex crinita Lam. var. crinita,Lam.,var. crinita,
crested sedge,Carex cristatella,Cyperaceae,Carex,cristatella,Y,,4,N,Y,Vascular,Wet fields. marshes. wet woods. swamps. and floodplain forests with deep alluvial soils.,Graminoid,Perennial,,,Carex cristatella Britton,Britton,,
small yellow sedge,Carex cryptolepis,Cyperaceae,Carex,cryptolepis,Y,,8,N,Y,Vascular,A plant of acidic soils. Edges of ponds. peaty shores. and open wet areas in forest clearings. Occurs predominately in perennially wet habitats where the adjacent herbaceous vegetation is thin and low.,Graminoid,Perennial,Rare-State,,Carex cryptolepis Mack.,Mack.,,
Davis s sedge,Carex davisii,Cyperaceae,Carex,davisii,Y,,8,N,Y,Vascular,Mesic rich or bottomland forests with calcareous soils and/or bedrock. Often associated with floodplains.,Graminoid,Perennial,Threatened-State,,Carex davisii Schwein. & Torr.,Schwein. & Torr.,,
Rudge s sedge,Carex debilis var. rudgei,Cyperaceae,Carex,debilis,Y,,6,N,Y,Vascular,Hardwood and mixed hardwood-coniferous forests. forest edges. openings in forests. and edges of streams. It appears to have an affinity for edges of very small streams in forested sites although it also occurs in other habitats as noted above.,Graminoid,Perennial,,,Carex debilis Michx. var. rudgei L.H. Bailey,Michx.,var. rudgei,L.H. Bailey
Dewey s sedge,Carex deweyana var. deweyana,Cyperaceae,Carex,deweyana,Y,,6,N,Y,Vascular,Mesic northern hardwood forests. small opening in forests. and forest edges. Much more common in northern parts of New York.,Graminoid,Perennial,,,Carex deweyana Schwein. var. deweyana,Schwein.,var. deweyana,
slender woodland sedge,Carex digitalis var. digitalis,Cyperaceae,Carex,digitalis,Y,,5,N,Y,Vascular,Dry-mesic to mesic forests. roads and paths through forests. and utility rights-of-way. Mostly in more southern forest types dominated by oaks. Often on slopes and in rocky soils. Usually with at least some canopy cover and in areas without adjacent dense herbaceous vegetation.,Graminoid,Perennial,,,Carex digitalis Willd. var. digitalis,Willd.,var. digitalis,
soft-leaved sedge,Carex disperma,Cyperaceae,Carex,disperma,Y,,10,N,Y,Vascular,Hummocks in cool deciduous to coniferous swamps. adjacent to seeps in cool rich northern hardwood forests. and cool coniferous forests adjacent to marshes. Often on mosses in shaded habitat. This species often grows in wetland habitats but up on hummocks or on ridges that are more mesic. Common herbaceous associates include Coptis trifolia. Carex trisperma. and C. leptalea.,Graminoid,Perennial,,,Carex disperma Dewey,Dewey,,
bristle-leaved sedge,Carex eburnea,Cyperaceae,Carex,eburnea,Y,,8,N,Y,Vascular,Characteristic of dry Thuja occidentalis bluffs over limestone where it forms a dense low carpet. Also occurs on bluffs of ravines on thin rich soils in hardwood forests and other thin soils over calcareous bedrock. Occasional on hummocks in rich swamps.,Herbaceous,Perennial,,,Carex eburnea Boott,Boott,,
star sedge,Carex echinata ssp. echinata,Cyperaceae,Carex,echinata,Y,,7,N,Y,Vascular,One of the most common members of section Stellulatae at least in the more acidic parts of the state. Bogs. coniferous peatlands. seeps. wet ditches. wet fields. coniferous and hardwood swamps including Thuja occidentalis swamps. shrub swamps. edges of streams and creeks. and on floating logs in ponds and on pond edges. Mostly in acidic soils and preferring open habitat or openings in the tree canopy.,Graminoid,Perennial,,,Carex echinata Murray ssp. echinata,Murray,ssp. echinata,
large yellow sedge,Carex flava,Cyperaceae,Carex,flava,Y,,4,N,Y,Vascular,Rich fens. stream edges. cobble river shores. peaty marshes with low and thin adjacent herbaceous vegetation. perennially wet calcareous rock outcrops and ledges. wet fields. roadside ditches. and other calcareous open wetlands. Occurs predominately in calcareous soils that are often peaty and perennially wet. and does best where the adjacent herbaceous vegetation is low and thin.,Graminoid,Perennial,,,Carex flava L.,L.,,
long sedge,Carex folliculata,Cyperaceae,Carex,folliculata,Y,,7,N,Y,Vascular,Bogs. edges of ponds and marshes. shrub swamps. and hardwood swamps. Often in strongly acidic standing water.,Graminoid,Perennial,,,Carex folliculata L.,L.,,
elk sedge,Carex garberi,Cyperaceae,Carex,garberi,Y,,10,N,Y,Vascular,,Herbaceous,Perennial,Endangered-State,,Carex garberi Fernald,Fernald,,
slender rich woodland sedge,Carex gracilescens,Cyperaceae,Carex,gracilescens,Y,,8,N,Y,Vascular,Dry-mesic to mesic forests. forests edges. roads. utility rights-of-way. and paths through forests. Often on calcareous deep to thin soils or bedrock but occasionally in more acidic sites.,Graminoid,Perennial,,,Carex gracilescens Steud.,Steud.,,
graceful sedge,Carex gracillima,Cyperaceae,Carex,gracillima,Y,,3,N,Y,Vascular,In most of New York. this is the most common member of section Hymenochlaenae. Fields. pastures. forests. thickets. utility rights-of-way. and dirt roads. The soils are mesic to wet-mesic or occasionally are seasonally flooded. Occurs in rich to somewhat poorer sites although it is perhaps absent from the most acidic soils.,Graminoid,Perennial,,,Carex gracillima Schwein.,Schwein.,,
limestone meadow sedge,Carex granularis,Cyperaceae,Carex,granularis,Y,,2,N,Y,Vascular,Forests. floodplain forests. wet soils in forests. fens. seepy open habitats. fields. and thickets. Occurs in wet to dry-mesic soils. The soils are sometimes clay or dense and seasonally flooded or poorly drained. Does well in disturbed and open habitats and can be common in wet somewhat calcareous fields.,Graminoid,Perennial,,,Carex granularis Muhl. ex Willd.,Muhl. ex Willd.,,
