Name2,AName2,sowIntruct2,spaceIntruct2,harvestIntruct2,compatiblePlants2,avoidIntruct2,culinaryHints2,culinaryPreservation2
Parsley,Curly leaf parsley or flat leaf (Italian) parsley,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,"Compatible with (can grow beside): Carrots, Chives, Tomatoes, Asparagus",Avoid growing close to: Potatoes,"Use the leaves and stems to add flavour and colour. Can be cooked in dishes such as ratatouille, Traditionally used in white sauce.",
Parsnip,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 70°F. (Show °C/cm),Space plants: 3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,"Compatible with (can grow beside): Swiss Chard (Silverbeet), Capsicum, Peas, Potatoes, Beans, Radishes, Garlic","Avoid growing close to: Carrot, Celery, Brassicas",Peel and roast with vegetables or meat. The sweetish flavour of parsnips enhances most other vegetables.,
Peas,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 24°C. (Show °F/in),Space plants: 5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Compatible with (can grow beside): Potatoes,,Raw straight from the pod in the garden is best! Raw in salads. Steamed lightly. Small pods can be steamed whole.,
Potato,,Plant tuber. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,"Harvest in 15-20 weeks. Dig carefully, avoid damaging the potatoes.","Compatible with (can grow beside): Peas, Beans, Brassicas, Sweetcorn, Broad Beans, Nasturtiums, Marigolds","Avoid growing close to: Cucumber, Pumpkin, Sunflowers, Tomatoes, Rosemary","Peeled or unpeeled and scrubbed, potatoes can be boiled, baked, fried and roasted. - The only way they are not used is raw. Keep in a pot of cold water after peeling, otherwise they will discolour.",
Pumpkin,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. (Show °C/cm),Space plants: 35 - 47 inches apart,Harvest in 15-20 weeks.,Compatible with (can grow beside): Sweet Corn,Avoid growing close to: Potatoes,"Cut up, remove the skin and roast with other vegetables or meat. Young crisp shoots with young leaves can be cooked and eaten - stewed in coconut milk they are popular in Melanesia. Remove any strings and tough parts and stew until tender, or cook as a vegetable in boiling water 3-5 minutes.",
Radish,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,
Rhubarb,,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. (Show °C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",
Rocket,Arugula/Rucola,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,,Use in salads and stir-fry,
Rockmelon,Canteloupe,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. (Show °C/cm)",Space plants: 16 - 24 inches apart,Harvest in 10-16 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut in half and scoop out and discard the seeds. Sprinkle with some ground ginger or serve plain.,
Rosella,"Queensland Jam Plant, Roselle","Sow in garden, or start in seed trays. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 20°C and 35°C. (Show °F/in)",Space plants: 140 cm apart,Harvest in 21-25 weeks.,"Compatible with (can grow beside): Feverfew, Coriander, Nasturtium and Hyssop",,"The large flowers produce a crimson enlarged calyx. Use the fleshy red calyx, without the green seed pod to make jam or jelly.",
Rosemary,,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",
Rutabaga,Swedes,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,
Sage,Common Sage,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in approximately 18 months. Time reduced if grown from cuttings.,"Compatible with (can grow beside): Broccoli, Cauliflower, Rosemary, Cabbage and Carrots",,The leaves are used to flavour stuffing and meat dishes. Sage keeps well if dried.,
Salsify,Vegetable oyster,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,
Savory - summer savory,Bean Herb,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",
Savory - winter savory,Savory,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,,Can be used as seasoning for beans and other green vegetables.,
Shallots,Eschalots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.
Silverbeet,Swiss Chard or Mangold,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,
Snow Peas,"Sugar Peas, Mangetout, Chinese Peas",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 68°F. (Show °C/cm),Space plants: 3 - 4 inches apart,Harvest in 12-14 weeks.,"Compatible with (can grow beside): Carrots, Endive, Florence fennel, Winter lettuce, Brassicas.","Avoid growing close to: Chives, Alliums, Tomatoes",Cook whole or eat raw in salads,
Spinach,English spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 5-11 weeks.,"Compatible with (can grow beside): Broad beans (fava), cabbage, cauliflower, celery, eggplant (aubergine), onion, peas, strawberry, santolina",,Use young leaves in salad. Steam and add to other vegetables.,
Spring onions,"Scallions, Bunching onions, Welsh onion",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: close together,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans",Can be eaten raw in salads. Often used chopped and sprinkled on Asian stir-fry.,
Squash,"Crookneck, Pattypan, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 24 - 31 inches apart,Harvest in 7-8 weeks.,Compatible with (can grow beside): Sweet corn,,Use whole or sliced. Steam or fry.,
Strawberries,,Start inside in pots or trays after chilling seeds.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 - 39 inches apart,Harvest in approximately 1 years. Seedlings need to grow for about a year before fruiting. Remove first flowers. .,Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding with raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.Straight from the garden, warmed by the sun is best.",
Strawberry Plants,,Easy to grow. Plant with crown (of roots) just covered.. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 - 39 inches apart,"Harvest in approximately 11 weeks. Strawberries bruise easily when ripe, handle carefully. Pick with a small piece of stem attached..",Compatible with (can grow beside): Better in a bed on their own to allow good sun and air circulation,"Avoid growing close to: If you are using rotation beds, avoid putting strawberries where you have grown tomatoes, potatoes, peppers or eggplant","Pick strawberries and eat them straight from the garden - warm from the sunshine, delicious! Strawberries can be used in any dessert needing soft fruit or berries. Summer pudding which also has raspberries and blackberries or boysenberries, mousse, trifle, dipped in melted chocolate or just with cream. Sprinkle a bowl of strawberries with balsamic vinegar and a little sugar to enhance the flavour and colour.",
Sunflower,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): Cucumbers, Melons, Sweetcorn, Squash",Avoid growing close to: Potatoes,Use seeds fresh or toasted,
Sweet corn,Maize,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 11-14 weeks.,"Compatible with (can grow beside): All beans, cucumber, melons, peas, pumpkin, squash, amaranth",Avoid growing close to: Celery.,Piick and cook within an hour. Remove the silks and outer leaves. Best flavour if microwave about 4 minutes per cob. Can be barbequed wrapped in foil. Cook large amounts in a stock pot until test soft. Sprinkle with black pepper and dip in butter.,
Sweet Marjoram,Knotted marjoram,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm)",Space plants: 8 inches apart,Harvest in 8-10 weeks. Best flavour if picked before flowering.,"Compatible with (can grow beside): Peppers (Capsicums, Chilis), Sage,",,"Sweet Marjoram has a mild oregano flavor with a hint of balsam. Sweet Marjoram can be used as a substitute for oregano in sauces for mediterranean style pizza, lasagna, and eggplant parmigiana.",
Sweet Potato,Kumara,Plant shoots or cuttings (Slips). Best planted at soil temperatures between 63°F and 95°F. (Show °C/cm),Space plants: 16 - 24 inches apart,Harvest in 15-17 weeks.,Compatible with (can grow beside): Best in Separate bed,,"Use mashed, boiled, roasted, baked or fried. Or use in soups, pies, casseroles, curries and salads.",
Taro,"Dasheen, cocoyam","Plant small pieces of tuber or suckers, 5-8cm deep. Best planted at soil temperatures between 68°F and 95°F. (Show °C/cm)",Space plants: 31 inches apart,Harvest in approximately 28 weeks. When the leaves begin to die down. .,Compatible with (can grow beside): Best in separate bed,,"Taro can be cooked like potatoes, boiled, roasted, fried or steamed. It is not eaten raw.",
Thyme,Common thyme,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. (Show °C/cm),Space plants: 10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,"Compatible with (can grow beside): Dry-environment herbs (oregano,sage), Eggplant, Cabbage",,"Common, lemon, orange and caraway thyme are used in cooking. Thyme is mainly used with meat and fish but also tastes good with vegetables such as mushrooms, beans and carrots. The flavour can be very intense so thyme is best used sparingly.",
Tomatillo,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 81°F. (Show °C/cm)",Space plants: 28 inches apart,Harvest in 10-14 weeks. Husk splits when fruit is ripe..,Compatible with (can grow beside): Will happily grow in a flower border,,Use in spicy sauces with or to replace tomatoes. They are the base of salsa verde in Mexican cookery.,
Tomato,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm)",Space plants: 16 - 24 inches apart,Harvest in 8-17 weeks.,"Compatible with (can grow beside): Asparagus, Chervil,Carrot, Celery, Chives, Parsley, Marigold, Basil","Avoid growing close to: Rosemary, Potatoes, Fennel","Use in sauces, with fried meals, in sandwiches.",Can be frozen whole or in pieces.
Turnip,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 12°C and 30°C. (Show °F/in),Space plants: 12 - 20 cm apart,Harvest in 6-9 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives, Spinach, Carrots, Chicory","Avoid growing close to: Potatoes, Tomatoes",Grate young turnips and use raw in salads. Use older turnips in casseroles and stews.,
Watermelon,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Sweetcorn, Sunflowers",Avoid growing close to: Potatoes,Cut up and eat in slices. Use to make fruit drinks. Use in fruit salads.,
Yacon,Sunroot,Easy to grow. Plant sprouting root/tuber to a depth of about 4cm and mulch to cover. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 39 inches apart,Harvest in approximately 25 weeks. You can collect a few at a time without digging out the whole plant..,Compatible with (can grow beside): Best in separate bed,,"The large roots can be used raw in salads peel and chop. Sprinkle with lemon juice to prevent browning. 'In the Andes, they are grated and squeezed through a cloth to yield a sweet refreshing drink. The juice can also be boiled down to produce a syrup. In South America the juice is concentrated to form dark brown blocks of sugar called chancaca.' (Green Harvest)",
Zucchini,"Courgette/Marrow, Summer squash","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm)",Space plants: 20 - 35 inches apart,Harvest in 6-9 weeks. Cut the fruit often to keep producing.,"Compatible with (can grow beside): Corn, beans, nasturtiums, parsley, Silverbeet, Tomatoes",Avoid growing close to: Potatoes,Zucchini are best picked or cut off the stem at about 15cm / 6 inches.Pick frequently to keep the plant producing new flowers.,
